ID,Hero,Skill Tier,KDA Ratio,"Pick Rate, %",Eliminations / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,Enemies Slept / 10min,Healing Amplified / 10min,Nano Boost Assists / 10min,Damage Amplified / 10min,Players Resurrected / 10min,Final Blows / 10min,Magnetic Grenade Attaches,Swift Strike Resets / 10min,Damage Reflected / 10min,Ultimates Reflected / 10min,Effects Cleansed / 10min,Kitsune Rush Assists / 10min,"Ally Coalescence Efficiency, %","Enemy Coalescence Efficiency, %",Objective Contest Time / 10min,Recon Assists / 10min,Transcendence Healing / 10min,Knockbacks / 10min,Sound Barriers / 10min,Direct Hits,Enemies Trapped / 10min,Self Healing / 10min,Low Health Recalls / 10min,Pulse Bombs Stuck / 10min,"Average Energy, %",Deaths Prevented / 10min,Amp Matrix Assists / 10min,"Airtime, %",Overhealth / 10min,Inspire Uptime,Enemies Frozen / 10min,Enemies Hacked / 10min,Low Health Teleports / 10min,Average Damage Multiplier,Players Teleported / 10min,"Wound Uptime, %",Role,Life Grip Saves / 10min,Total Kills,"Average Accuracy, %",Win Rate Classification
1172,Pharah,Platinum,2.84,1.71,21.16,39,9427,,8.97,,,,,,12.67,,,,,,,,,,,,,,17.0,,,,,,,,66.36,,,,,,,,,Damage,,14.469999999999999,48.0,Low
252,Junker Queen,Master,5.4,0.62,20.02,107,8866,,6.46,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,18.0,Tank,,18.47,33.5,High
804,Zenyatta,Gold,4.61,2.43,12.39,69,4180,5930.0,8.02,,,,1266.85,,,,,,,,,,,,,1101.46,,,,,,,,,,,,,,,,,,,,Support,,9.530000000000001,22.0,High
838,Winston,Bronze,3.21,1.79,17.21,119,6686,,7.7,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,Tank,,15.360000000000001,50.0,Low
931,Winston,Master,4.12,1.99,20.54,110,8189,,6.85,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,Tank,,17.41,56.0,Low
735,Cassidy,Grandmaster,1.79,2.38,15.54,52,7063,,9.52,,,,,,9.5,49.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,14.870000000000001,23.5,Low
1124,Ashe,Platinum,2.76,2.86,17.36,48,8774,,7.47,,,,,,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,17.66,41.0,Low
719,Symmetra,Platinum,3.57,1.28,20.36,59,8896,,8.18,,,,,,9.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,16.81,,Damage,,21.18,39.5,High
54,Kiriko,Platinum,5.1,8.2,8.53,70,2500,9002.0,5.93,,,,,,,,,,,4.68,18.47,,,,,,,,,,,,,,,,,,,,,,,,,Support,,12.290000000000001,22.5,Low
958,Doomfist,Diamond,3.04,2.96,17.37,92,8086,,7.92,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,2928.31,,,,,,,,Tank,,27.650000000000002,28.0,High
513,Widowmaker,Silver,2.62,0.78,14.63,19,5535,,7.79,,,,,,9.89,,,,,,,,,,3.07,,,,,,,,,,,,,,,,,,,,,Damage,,9.030000000000001,45.0,Low
1130,Junker Queen,Silver,3.51,0.97,16.59,129,7081,,7.84,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,16.0,Tank,,16.93,29.5,Low
668,Ramattra,Platinum,3.52,2.82,19.05,122,9580,,6.77,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,Tank,,31.820000000000004,41.5,High
427,Moira,Diamond,5.75,5.16,17.85,86,5476,9199.0,6.52,,,,,,,,,,,,,43.0,68.0,,,,,,,,,,,,,,,,,,,,,,,Support,,21.080000000000002,50.0,Low
20,Winston,Gold,3.87,0.71,19.33,117,7561,,7.24,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,Tank,,16.330000000000002,52.0,Low
1098,Tracer,Bronze,2.24,0.64,14.98,65,5758,,8.62,,,,,,6.8,,,,,,,,,,,,,,,,838.37,4.66,1.45,,,,,,,,,,,,,Damage,,9.9,19.5,Low
451,Sigma,Diamond,4.92,2.34,18.43,121,9362,,5.69,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,1471.45,,,,,,,,Tank,,16.9,48.0,High
824,D.Va,Diamond,5.71,3.32,20.53,117,8034,,5.98,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,Tank,,19.78,24.0,High
531,Orisa,Platinum,3.79,2.24,18.26,125,9497,,7.01,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,Tank,,21.72,33.0,Low
524,Hanzo,Grandmaster,2.82,1.96,17.24,52,7367,,8.87,,,,,,11.0,,,,,,,,,,4.03,,,,,,,,,,,,,,,,,,,,,Damage,,20.14,23.5,Low
129,Roadhog,Silver,3.62,2.62,17.14,86,6529,,6.84,,,,,,,,,,,,,,,75.0,,,,,,,4320.89,,,,,,,,,,,,,,,Tank,,18.39,37.34,Low
528,Junkrat,Grandmaster,2.76,3.18,17.19,43,7792,,8.31,,,,,,11.01,,,,,,,,,,,,,,14.0,4.91,,,,,,,,,,,,,,,,Damage,,14.059999999999999,23.0,Low
767,Doomfist,Diamond,3.82,2.22,19.64,99,7229,,7.12,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,2311.44,,,,,,,,Tank,,28.36,24.0,High
123,Reaper,Gold,3.07,2.1,19.81,64,7411,,8.28,,,,,,11.36,,,,,,,,,,,,,,,,1191.13,,,,,,,,,,,,,,,Damage,,14.26,17.5,Low
714,Widowmaker,Grandmaster,2.31,5.44,14.77,18,5609,,8.22,,,,,,10.19,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,Damage,,7.85,43.0,Low
1224,Soldier: 76,Gold,3.17,4.17,19.49,58,9158,1320.0,8.43,,,,,,9.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,21.65,32.666666666666664,Low
753,Orisa,Silver,3.05,3.0,16.21,139,8001,,7.12,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,Tank,,16.060000000000002,29.0,Low
1255,Moira,Silver,6.16,4.85,17.65,90,5296,9047.0,6.29,,,,,,,,,,,,,44.0,65.0,,,,,,,,,,,,,,,,,,,,,,,Support,,20.84,47.0,Low
638,Mercy,Bronze,3.23,2.98,1.98,54,416,8641.0,7.34,,,,747.95,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support,,3.04,,Low
99,Torbjorn,Gold,3.24,0.86,20.36,51,9968,,7.09,,,,,,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,24.439999999999998,18.0,High
385,Soldier: 76,Diamond,3.21,3.58,20.56,49,8683,1436.0,8.22,,,,,,10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,21.81,32.666666666666664,Low
212,Brigitte,Platinum,4.61,0.41,12.2,89,3609,7437.0,8.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.46,30.0,,,,,,,Support,,5.08,,Low
671,Mei,Platinum,3.88,2.35,18.12,91,7118,,7.23,,,,,,7.89,,,,,,,,,,,,,,,,1051.06,,,,,,,,,3.45,,,,,,Damage,,12.370000000000001,30.666666666666668,Low
325,Wrecking Ball,Grandmaster,3.65,0.58,16.58,135,6981,,6.8,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,Tank,,22.22,22.5,Low
421,Symmetra,Grandmaster,3.01,2.74,18.63,55,8274,,8.37,,,,,,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,21.45,,Damage,,18.49,39.5,High
1076,Wrecking Ball,Gold,4.96,0.53,17.11,128,7659,,5.89,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,Tank,,20.599999999999998,21.5,Low
386,Baptiste,Master,3.18,2.15,8.17,61,3070,7797.0,8.0,,,,428.9,,,,,,,,,,,,,,,,,,,,,,2.45,1.83,,,,,,,,,,Support,,4.15,32.88333333333333,Low
190,Brigitte,Master,4.82,3.27,11.56,82,3670,8581.0,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.38,32.0,,,,,,,Support,,4.55,,High
783,Doomfist,Grandmaster,3.61,2.12,18.17,61,6914,,9.04,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,2124.09,,,,,,,,Tank,,27.24,27.0,High
1087,Genji,Grandmaster,3.1,4.64,19.06,64,7871,,7.85,,,,,,10.68,,17.32,1765.44,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,10.959999999999999,26.0,High
1219,Junkrat,Bronze,2.38,1.74,15.34,60,7670,,8.69,,,,,,9.25,,,,,,,,,,,,,,18.0,5.46,,,,,,,,,,,,,,,,Damage,,13.5,25.0,Low
602,Echo,Silver,2.81,0.79,18.13,65,7816,,7.99,,,,,,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,27.97,28.016666666666666,Low
392,Ana,Grandmaster,4.36,8.54,9.3,62,2665,8299.0,6.46,5.35,428.94,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support,,8.75,55.0,Low
911,Zarya,Platinum,4.7,2.48,19.8,126,9792,,6.18,,,,,,,,,,,,,,,72.0,,,,,,,,,,37.86,,,,,,,,,,,,Tank,,24.65,42.5,Low
723,Ramattra,Silver,4.36,0.71,19.55,115,8988,,6.53,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,Tank,,30.930000000000003,41.5,High
539,Ramattra,Diamond,4.56,0.81,19.96,110,9430,,6.45,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,Tank,,31.86,43.0,High
1151,Ashe,Bronze,2.78,2.12,16.54,50,7662,,7.43,,,,,,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,17.36,39.0,Low
66,Tracer,Silver,2.14,0.84,15.93,63,5932,,8.55,,,,,,6.43,,,,,,,,,,,,,,,,869.78,4.53,1.49,,,,,,,,,,,,,Damage,,10.23,19.5,Low
683,Brigitte,Master,4.67,2.02,13.98,80,3829,7326.0,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877.63,32.0,,,,,,,Support,,5.39,,High
1191,Soldier: 76,Platinum,2.93,4.38,19.32,53,9150,1319.0,8.12,,,,,,9.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,20.78,33.0,Low
484,Hanzo,Master,3.13,7.35,17.53,47,7932,,7.75,,,,,,11.38,,,,,,,,,,4.07,,,,,,,,,,,,,,,,,,,,,Damage,,18.509999999999998,23.5,High
637,Torbjorn,Master,3.05,2.54,17.53,48,9674,,6.77,,,,,,8.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,19.5,18.5,High
646,Echo,Master,2.83,2.83,19.39,52,8900,,7.9,,,,,,10.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,28.14,30.093333333333334,High
322,Genji,Silver,2.16,1.56,15.86,65,6718,,8.52,,,,,,8.22,,13.1,1638.45,—,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,10.2,25.0,Low
626,Sojourn,Gold,3.09,0.72,18.18,57,7943,,7.96,,,,,,8.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,24.11,28.666666666666668,Low
848,Cassidy,Master,1.98,3.45,16.33,59,7465,,9.31,,,,,,10.36,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,16.35,24.0,Low
192,Reaper,Grandmaster,2.8,2.53,19.37,70,8578,,7.94,,,,,,10.43,,,,,,,,,,,,,,,,1612.91,,,,,,,,,,,,,,,Damage,,12.66,20.0,Low
738,Winston,Grandmaster,3.98,4.84,19.47,93,8238,,6.54,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,Tank,,16.51,59.0,Low
436,Genji,Diamond,2.76,5.87,18.58,56,7047,,8.27,,,,,,10.24,,16.3,1579.62,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,11.469999999999999,28.0,Low
1129,Brigitte,Gold,4.61,1.19,12.66,92,3834,8198.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.56,31.0,,,,,,,Support,,5.23,,High
441,Tracer,Silver,2.59,2.21,17.39,59,5984,,8.43,,,,,,8.17,,,,,,,,,,,,,,,,770.23,4.7,1.44,,,,,,,,,,,,,Damage,,10.73,19.5,Low
76,Ashe,Bronze,2.38,1.04,14.24,55,7192,,7.72,,,,,,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,16.240000000000002,38.0,Low
346,Junker Queen,Diamond,5.4,0.7,20.05,107,8869,,6.46,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,18.0,Tank,,18.55,34.0,High
418,Hanzo,Platinum,3.15,4.15,17.52,51,7730,,7.72,,,,,,11.41,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,Damage,,18.490000000000002,21.0,Low
1136,Orisa,Gold,3.66,1.73,17.57,129,9154,,7.15,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,Tank,,20.8,33.0,Low
278,Lucio,Gold,3.23,4.01,11.63,112,3324,8346.0,7.94,,,,,,,,,,,,,,,,,,25.09,9.91,,,,,,,,,,,,,,,,,,Support,,5.77,16.5,Low
148,Sojourn,Master,2.63,6.68,17.11,55,7875,,8.57,,,,,,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,23.8,29.666666666666668,Low
114,Symmetra,Platinum,3.75,1.53,19.38,54,7381,,7.62,,,,,,9.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,13.73,,Damage,,20.26,36.5,High
673,Brigitte,Silver,4.34,1.13,12.16,91,3436,7128.0,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.58,29.0,,,,,,,Support,,5.21,,High
865,Lucio,Platinum,3.96,1.95,12.81,100,3638,7310.0,7.4,,,,,,,,,,,,,,,,,,29.56,9.95,,,,,,,,,,,,,,,,,,Support,,5.85,17.0,High
664,Zenyatta,Diamond,5.05,2.51,13.42,68,4612,6030.0,7.67,,,,1322.59,,,,,,,,,,,,,1199.72,,,,,,,,,,,,,,,,,,,,Support,,11.09,23.5,High
1254,Zarya,Gold,4.89,2.4,19.24,96,7407,,6.39,,,,,,,,,,,,,,,77.0,,,,,,,,,,32.01,,,,,,,,,,,,Tank,,21.71,40.0,Low
1005,Doomfist,Bronze,3.1,1.01,16.08,90,7550,,8.06,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,2773.97,,,,,,,,Tank,,26.700000000000003,28.0,High
405,Genji,Bronze,2.2,1.57,16.33,62,7047,,8.51,,,,,,8.64,,14.08,1740.46,—,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,10.3,25.0,Low
729,Junkrat,Diamond,2.74,2.19,16.89,44,8380,,8.08,,,,,,10.51,,,,,,,,,,,,,,17.0,4.99,,,,,,,,,,,,,,,,Damage,,14.61,24.0,Low
351,Widowmaker,Diamond,2.53,3.19,16.0,23,5905,,8.29,,,,,,11.13,,,,,,,,,,3.22,,,,,,,,,,,,,,,,,,,,,Damage,,9.010000000000002,46.0,Low
1044,Doomfist,Silver,3.33,0.53,17.07,98,7550,,7.79,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,2801.37,,,,,,,,Tank,,26.689999999999998,26.0,Low
211,Soldier: 76,Gold,2.9,3.06,18.85,57,8802,1331.0,8.27,,,,,,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,20.48,32.0,Low
785,Lucio,Gold,3.9,3.16,12.53,103,3551,7923.0,7.32,,,,,,,,,,,,,,,,,,27.25,9.9,,,,,,,,,,,,,,,,,,Support,,5.91,16.5,Low
383,Orisa,Grandmaster,3.83,2.58,17.89,117,9299,,6.86,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,Tank,,20.509999999999998,32.0,Low
1062,Junkrat,Gold,2.44,2.29,16.48,58,8058,,8.74,,,,,,10.13,,,,,,,,,,,,,,18.0,5.64,,,,,,,,,,,,,,,,Damage,,15.440000000000001,25.0,Low
487,Wrecking Ball,Grandmaster,4.78,4.48,17.49,102,7643,,5.49,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,Tank,,21.1,22.5,High
1082,Orisa,Platinum,3.87,1.84,17.77,97,7407,,7.03,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,Tank,,22.200000000000003,29.0,Low
326,Brigitte,Grandmaster,4.87,5.41,10.54,83,3546,8702.0,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.82,32.0,,,,,,,Support,,4.1,,High
578,Orisa,Master,3.8,1.86,17.62,95,7284,,7.05,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,Tank,,21.8,29.0,Low
84,Sombra,Bronze,3.91,0.54,13.85,47,4585,,6.68,,,,,,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,26.93,2.15,,,,Damage,,9.89,32.0,Low
757,Doomfist,Grandmaster,2.94,3.42,16.47,77,6265,,7.31,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,2038.14,,,,,,,,Tank,,24.71,20.0,High
918,Hanzo,Silver,3.01,1.31,16.04,53,7305,,7.88,,,,,,10.24,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,Damage,,18.07,21.5,Low
384,Soldier: 76,Platinum,3.18,3.21,20.35,50,8573,1432.0,8.26,,,,,,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,21.6,32.0,Low
710,Genji,Platinum,2.64,4.93,17.93,57,6818,,8.31,,,,,,9.74,,15.33,1564.62,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,11.11,28.0,Low
488,Sojourn,Grandmaster,2.99,5.61,19.58,49,9192,,7.64,,,,,,10.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,26.61,32.0,Low
730,Doomfist,Platinum,3.41,1.49,18.27,94,8177,,7.59,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,2880.8,,,,,,,,Tank,,27.919999999999998,27.0,High
1162,Moira,Master,6.44,4.19,19.33,74,5322,8162.0,6.48,,,,,,,,,,,,,41.0,66.0,,,,,,,,,,,,,,,,,,,,,,,Support,,21.71,48.0,High
1140,Reinhardt,Platinum,3.19,4.89,17.2,122,8718,,6.77,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,Tank,,21.560000000000002,,High
835,Kiriko,Diamond,4.67,7.01,7.95,61,2235,8444.0,6.51,,,,,,,,,,,3.76,20.62,,,,,,,,,,,,,,,,,,,,,,,,,Support,,11.32,22.0,High
917,Torbjorn,Master,2.87,1.45,17.72,48,9558,,7.19,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,21.380000000000003,18.0,Low
1092,Sombra,Grandmaster,4.69,2.09,15.62,42,4656,,6.69,,,,,,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,23.45,0.96,,,,Damage,,10.73,33.0,Low
33,Cassidy,Gold,2.44,2.85,17.37,58,8110,,8.12,,,,,,10.62,58.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,16.29,24.0,Low
1242,Wrecking Ball,Diamond,4.89,1.87,17.69,117,7853,,5.84,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,Tank,,21.79,21.5,Low
403,Widowmaker,Diamond,2.38,3.28,15.67,22,5761,,8.47,,,,,,10.89,,,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,Damage,,8.66,45.0,Low
188,Widowmaker,Gold,2.63,1.07,15.19,21,5714,,7.83,,,,,,10.38,,,,,,,,,,3.19,,,,,,,,,,,,,,,,,,,,,Damage,,9.100000000000001,46.0,Low
125,Doomfist,Diamond,3.39,2.84,18.69,88,8249,,7.71,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,2781.58,,,,,,,,Tank,,28.130000000000003,29.0,High
587,Torbjorn,Silver,3.17,0.86,17.5,52,9169,,6.97,,,,,,8.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,21.66,16.0,High
352,Ashe,Master,2.64,3.11,17.0,44,7905,,8.3,,,,,,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,19.119999999999997,39.0,High
520,Kiriko,Gold,4.81,7.06,7.97,69,2392,8689.0,5.98,,,,,,,,,,,4.51,17.43,,,,,,,,,,,,,,,,,,,,,,,,,Support,,11.51,22.0,Low
366,Soldier: 76,Diamond,3.11,4.8,19.92,54,8917,1429.0,8.56,,,,,,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,21.75,32.333333333333336,High
994,Reinhardt,Platinum,3.19,4.04,15.85,96,6969,,7.83,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,Tank,,17.61,,High
874,Zarya,Bronze,4.67,2.41,18.76,95,7216,,6.46,,,,,,,,,,,,,,,76.0,,,,,,,,,,31.4,,,,,,,,,,,,Tank,,21.11,39.0,Low
1003,Hanzo,Bronze,2.5,1.27,14.91,56,7300,,8.33,,,,,,9.48,,,,,,,,,,2.96,,,,,,,,,,,,,,,,,,,,,Damage,,17.83,24.5,Low
877,Brigitte,Diamond,4.03,0.51,11.57,92,3476,7371.0,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156.87,29.0,,,,,,,Support,,4.56,,Low
273,Orisa,Grandmaster,3.47,4.51,16.93,129,9650,,6.93,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,Tank,,17.55,32.0,Low
29,Widowmaker,Bronze,2.32,1.19,14.91,19,5772,,8.44,,,,,,10.27,,,,,,,,,,3.69,,,,,,,,,,,,,,,,,,,,,Damage,,11.3,45.0,Low
1114,Reaper,Diamond,2.67,2.66,20.05,75,8683,,8.29,,,,,,11.09,,,,,,,,,,,,,,,,1598.23,,,,,,,,,,,,,,,Damage,,14.09,20.5,Low
1091,Zarya,Platinum,5.04,2.66,19.73,94,7612,,6.32,,,,,,,,,,,,,,,76.0,,,,,,,,,,33.18,,,,,,,,,,,,Tank,,22.53,40.0,Low
554,Doomfist,Master,3.4,3.54,18.9,84,8309,,7.61,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,2722.39,,,,,,,,Tank,,27.76,29.0,High
580,Zarya,Gold,4.29,3.82,19.67,130,8490,,6.78,,,,,,,,,,,,,,,77.0,,,,,,,,,,33.08,,,,,,,,,,,,Tank,,23.979999999999997,40.0,Low
843,Moira,Master,5.91,6.04,17.85,80,5475,9388.0,6.19,,,,,,,,,,,,,44.0,64.0,,,,,,,,,,,,,,,,,,,,,,,Support,,20.610000000000003,51.0,Low
486,Tracer,Gold,2.27,1.1,17.02,63,6167,,8.46,,,,,,7.51,,,,,,,,,,,,,,,,880.41,4.8,1.6,,,,,,,,,,,,,Damage,,10.27,20.0,Low
223,Sigma,Diamond,5.24,1.95,18.94,103,8885,,5.52,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,1321.29,,,,,,,,Tank,,15.620000000000001,50.0,High
945,Sombra,Platinum,4.92,1.39,16.47,43,5545,,5.94,,,,,,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,2.39,,,,Damage,,10.899999999999999,34.0,Low
881,Cassidy,Gold,2.04,3.61,16.49,59,7225,,8.9,,,,,,9.98,50.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,16.04,23.5,High
581,Roadhog,Grandmaster,3.94,3.27,18.44,80,7018,,6.7,,,,,,,,,,,,,,,70.0,,,,,,,4376.04,,,,,,,,,,,,,,,Tank,,19.6,38.260000000000005,Low
830,Bastion,Master,2.98,1.48,19.29,59,10274,,8.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,36.519999999999996,26.0,Low
