person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
24.0,male,Master,108402.0,3,RENT,3000.0,PERSONAL,10.25,0.03,3.0,626,Yes,0
24.0,female,Bachelor,36940.0,2,RENT,3000.0,MEDICAL,6.03,0.08,4.0,580,Yes,0
43.0,male,High School,66875.0,18,OWN,2000.0,PERSONAL,12.53,0.03,11.0,708,Yes,0
36.0,female,Bachelor,46623.0,12,RENT,6000.0,EDUCATION,12.61,0.13,17.0,655,No,0
24.0,male,Master,144985.0,4,MORTGAGE,6000.0,EDUCATION,9.94,0.04,3.0,638,Yes,0
28.0,female,High School,169315.0,6,MORTGAGE,18000.0,HOMEIMPROVEMENT,14.65,0.11,7.0,523,Yes,0
27.0,male,Bachelor,102586.0,5,MORTGAGE,18000.0,VENTURE,7.51,0.18,10.0,642,Yes,0
24.0,male,High School,36782.0,0,RENT,8402.0,EDUCATION,14.64,0.23,4.0,673,No,0
24.0,male,High School,36845.0,0,RENT,3600.0,VENTURE,8.49,0.1,3.0,623,Yes,0
25.0,male,Master,58823.0,3,OWN,7500.0,VENTURE,7.05,0.13,3.0,661,Yes,0
27.0,male,Bachelor,78754.0,6,MORTGAGE,3000.0,VENTURE,11.13,0.04,5.0,557,Yes,0
31.0,male,Associate,78913.0,7,MORTGAGE,7750.0,EDUCATION,7.51,0.1,8.0,622,Yes,0
27.0,female,Associate,49165.0,4,RENT,4800.0,DEBTCONSOLIDATION,11.01,0.1,8.0,635,Yes,0
39.0,male,High School,53554.0,16,OWN,10000.0,PERSONAL,7.62,0.19,15.0,656,Yes,0
48.0,male,High School,144889.0,24,MORTGAGE,3600.0,VENTURE,11.01,0.02,17.0,606,No,0
29.0,male,Master,72900.0,5,RENT,17000.0,PERSONAL,14.12,0.23,9.0,617,Yes,0
25.0,male,Bachelor,66584.0,2,RENT,3000.0,VENTURE,8.81,0.05,5.0,661,Yes,0
43.0,female,High School,56228.0,22,MORTGAGE,6300.0,EDUCATION,7.51,0.11,14.0,684,Yes,0
30.0,male,Bachelor,138693.0,7,MORTGAGE,19000.0,DEBTCONSOLIDATION,12.34,0.14,7.0,654,Yes,0
33.0,male,Bachelor,144975.0,11,MORTGAGE,15000.0,PERSONAL,5.79,0.1,9.0,681,Yes,0
25.0,male,Associate,66850.0,0,RENT,3600.0,PERSONAL,11.05,0.05,4.0,676,No,0
24.0,male,Bachelor,61127.0,0,RENT,9600.0,HOMEIMPROVEMENT,7.51,0.16,3.0,702,No,0
23.0,male,Master,44495.0,0,RENT,1413.0,PERSONAL,14.25,0.03,3.0,620,Yes,0
29.0,male,Bachelor,111182.0,5,RENT,20000.0,DEBTCONSOLIDATION,13.72,0.18,10.0,673,No,0
35.0,female,Bachelor,56963.0,16,MORTGAGE,17000.0,EDUCATION,11.83,0.3,10.0,709,No,0
40.0,male,Bachelor,103074.0,15,RENT,18000.0,HOMEIMPROVEMENT,11.48,0.17,13.0,713,Yes,0
28.0,female,High School,62238.0,7,MORTGAGE,8411.0,EDUCATION,10.74,0.14,6.0,601,Yes,0
21.0,female,Bachelor,57792.0,0,RENT,3000.0,PERSONAL,13.92,0.05,2.0,661,No,0
25.0,male,Associate,83470.0,0,MORTGAGE,25000.0,MEDICAL,6.99,0.3,2.0,639,Yes,0
27.0,female,Associate,120878.0,7,RENT,20000.0,MEDICAL,11.12,0.17,9.0,451,Yes,0
24.0,male,Bachelor,54628.0,3,RENT,10000.0,VENTURE,13.11,0.18,4.0,684,Yes,0
24.0,female,High School,75282.0,2,OWN,3200.0,PERSONAL,7.68,0.04,4.0,599,No,0
23.0,male,Associate,78928.0,1,RENT,8000.0,DEBTCONSOLIDATION,14.72,0.1,2.0,602,No,0
34.0,male,Bachelor,87374.0,12,OWN,13150.0,MEDICAL,6.03,0.15,10.0,577,Yes,0
30.0,female,High School,73078.0,12,RENT,12000.0,PERSONAL,11.71,0.16,9.0,616,No,0
27.0,female,Bachelor,53841.0,2,RENT,3500.0,MEDICAL,12.98,0.07,10.0,648,Yes,0
32.0,male,Master,54403.0,11,MORTGAGE,15000.0,PERSONAL,7.51,0.28,5.0,670,No,0
29.0,female,Associate,109104.0,5,RENT,23475.0,VENTURE,11.58,0.22,6.0,707,No,0
23.0,male,Associate,102179.0,0,RENT,6000.0,EDUCATION,11.01,0.06,2.0,623,Yes,0
27.0,male,Bachelor,168787.0,3,OWN,24100.0,VENTURE,11.83,0.14,10.0,666,No,0
22.0,male,High School,108843.0,0,MORTGAGE,20000.0,VENTURE,12.53,0.18,3.0,580,No,0
23.0,male,Master,31064.0,0,RENT,2400.0,DEBTCONSOLIDATION,13.67,0.08,5.0,691,No,0
35.0,male,Associate,28184.0,14,RENT,3500.0,EDUCATION,14.1,0.12,9.0,697,Yes,0
25.0,female,High School,61434.0,4,MORTGAGE,3000.0,VENTURE,14.65,0.05,3.0,656,Yes,0
33.0,male,Bachelor,49123.0,13,MORTGAGE,16678.0,MEDICAL,9.51,0.34,7.0,656,Yes,0
23.0,male,High School,77071.0,0,RENT,4865.0,EDUCATION,10.98,0.06,4.0,644,Yes,0
37.0,male,Bachelor,188225.0,17,MORTGAGE,4000.0,HOMEIMPROVEMENT,8.49,0.02,15.0,656,No,0
25.0,male,High School,86325.0,2,RENT,20000.0,PERSONAL,14.09,0.23,2.0,566,Yes,0
36.0,male,High School,44438.0,13,RENT,2500.0,DEBTCONSOLIDATION,9.76,0.06,12.0,670,Yes,0
27.0,female,Bachelor,55350.0,5,MORTGAGE,12000.0,HOMEIMPROVEMENT,8.94,0.22,6.0,684,No,0
33.0,male,High School,148572.0,13,RENT,12000.0,MEDICAL,11.83,0.08,7.0,690,No,0
25.0,male,Bachelor,60425.0,3,RENT,12000.0,MEDICAL,7.14,0.2,3.0,593,No,0
31.0,male,Associate,115023.0,9,RENT,2500.0,DEBTCONSOLIDATION,13.72,0.02,7.0,638,Yes,0
43.0,female,High School,82505.0,16,OWN,5000.0,EDUCATION,6.99,0.06,15.0,617,Yes,0
38.0,male,High School,97920.0,15,RENT,18000.0,DEBTCONSOLIDATION,10.59,0.18,16.0,664,Yes,0
48.0,female,Doctorate,114872.0,22,MORTGAGE,7463.0,DEBTCONSOLIDATION,6.73,0.06,15.0,745,No,0
23.0,female,Master,37179.0,3,MORTGAGE,8000.0,VENTURE,7.88,0.22,2.0,547,Yes,0
26.0,male,Bachelor,116407.0,2,MORTGAGE,10000.0,PERSONAL,5.42,0.09,3.0,691,No,0
25.0,female,Bachelor,102982.0,4,RENT,12000.0,VENTURE,13.58,0.12,4.0,519,Yes,0
25.0,male,Master,55055.0,5,RENT,10000.0,MEDICAL,12.69,0.18,2.0,683,No,0
30.0,male,Bachelor,84676.0,7,MORTGAGE,10200.0,HOMEIMPROVEMENT,6.91,0.12,8.0,606,No,0
28.0,male,Bachelor,116648.0,7,MORTGAGE,6000.0,PERSONAL,12.69,0.05,10.0,707,No,0
25.0,female,Bachelor,69508.0,3,MORTGAGE,6000.0,VENTURE,7.99,0.09,3.0,661,Yes,0
24.0,female,Bachelor,72834.0,1,RENT,10000.0,MEDICAL,11.01,0.14,3.0,692,No,0
23.0,female,High School,144865.0,0,MORTGAGE,4000.0,EDUCATION,10.65,0.03,2.0,582,Yes,0
24.0,female,Associate,64121.0,1,RENT,5000.0,PERSONAL,7.74,0.08,4.0,639,No,0
26.0,female,High School,57292.0,5,MORTGAGE,6600.0,MEDICAL,7.9,0.12,2.0,621,No,0
46.0,male,High School,68112.0,23,MORTGAGE,6000.0,EDUCATION,11.01,0.09,16.0,672,No,0
27.0,male,High School,181014.0,4,MORTGAGE,20000.0,PERSONAL,12.84,0.11,6.0,673,Yes,0
24.0,male,High School,87453.0,2,RENT,7128.0,EDUCATION,8.42,0.08,3.0,614,No,0
22.0,male,Associate,68230.0,0,RENT,14000.0,VENTURE,12.21,0.21,3.0,608,Yes,0
23.0,male,Bachelor,76889.0,3,MORTGAGE,7300.0,EDUCATION,7.49,0.09,2.0,722,Yes,0
28.0,male,Bachelor,65952.0,3,MORTGAGE,9250.0,EDUCATION,11.36,0.14,10.0,678,No,0
26.0,male,High School,271215.0,5,MORTGAGE,25000.0,VENTURE,10.89,0.09,3.0,656,Yes,0
30.0,female,Associate,26576.0,9,RENT,2000.0,MEDICAL,14.22,0.08,9.0,656,Yes,0
21.0,female,Master,32546.0,0,RENT,7500.0,DEBTCONSOLIDATION,7.12,0.23,4.0,661,Yes,0
29.0,male,Master,73165.0,5,RENT,10000.0,DEBTCONSOLIDATION,8.59,0.14,5.0,600,No,0
29.0,male,Bachelor,90995.0,6,MORTGAGE,9000.0,PERSONAL,11.01,0.1,6.0,666,Yes,0
29.0,male,Bachelor,40450.0,4,RENT,1700.0,EDUCATION,15.23,0.04,5.0,615,No,0
24.0,female,High School,69417.0,0,MORTGAGE,12888.0,PERSONAL,7.9,0.19,3.0,598,Yes,0
24.0,male,High School,159202.0,1,MORTGAGE,10000.0,HOMEIMPROVEMENT,8.76,0.06,4.0,629,Yes,0
28.0,male,Master,119742.0,7,MORTGAGE,8124.0,EDUCATION,9.9,0.07,6.0,680,No,0
35.0,male,High School,103125.0,12,MORTGAGE,1163.0,EDUCATION,8.98,0.01,11.0,577,Yes,0
23.0,female,Master,97109.0,5,OWN,6000.0,EDUCATION,19.13,0.06,4.0,601,No,0
37.0,female,Associate,60942.0,15,MORTGAGE,16000.0,MEDICAL,11.01,0.26,12.0,623,Yes,0
30.0,male,High School,36968.0,8,MORTGAGE,5103.0,VENTURE,8.14,0.14,5.0,610,Yes,0
27.0,male,High School,111885.0,4,MORTGAGE,17500.0,HOMEIMPROVEMENT,11.01,0.16,8.0,545,Yes,0
30.0,female,High School,51235.0,6,RENT,1850.0,MEDICAL,11.99,0.04,6.0,656,Yes,0
26.0,female,Master,67044.0,2,RENT,6000.0,HOMEIMPROVEMENT,7.14,0.09,4.0,547,Yes,0
23.0,male,Associate,34523.0,0,RENT,7000.0,DEBTCONSOLIDATION,10.43,0.2,3.0,620,Yes,0
30.0,female,High School,72923.0,10,RENT,7200.0,HOMEIMPROVEMENT,6.76,0.1,8.0,592,Yes,0
25.0,male,Bachelor,43085.0,3,RENT,2400.0,VENTURE,12.53,0.06,3.0,643,No,0
22.0,male,Associate,25537.0,0,MORTGAGE,6000.0,EDUCATION,15.99,0.23,4.0,623,No,0
34.0,female,Master,116257.0,10,OWN,12000.0,VENTURE,11.99,0.1,6.0,665,Yes,0
28.0,male,Bachelor,193154.0,7,OWN,23000.0,PERSONAL,11.83,0.12,8.0,673,Yes,0
30.0,male,Bachelor,252918.0,8,MORTGAGE,24000.0,DEBTCONSOLIDATION,11.49,0.09,6.0,593,Yes,0
30.0,female,Master,108831.0,8,RENT,10000.0,EDUCATION,14.2,0.09,10.0,720,No,0
26.0,male,Associate,25154.0,5,OWN,7055.0,MEDICAL,7.76,0.28,3.0,630,Yes,0
27.0,male,Master,68056.0,8,MORTGAGE,20000.0,EDUCATION,11.01,0.29,7.0,693,No,0
23.0,female,High School,87315.0,3,MORTGAGE,16000.0,MEDICAL,7.4,0.18,3.0,692,Yes,0
43.0,male,Doctorate,97048.0,19,RENT,10000.0,HOMEIMPROVEMENT,11.49,0.1,12.0,707,Yes,0
21.0,female,Associate,54968.0,1,RENT,12000.0,EDUCATION,11.97,0.22,3.0,657,No,0
26.0,male,Associate,26887.0,2,RENT,5000.0,DEBTCONSOLIDATION,9.99,0.19,4.0,668,Yes,0
24.0,male,High School,109314.0,3,MORTGAGE,7500.0,EDUCATION,11.01,0.07,3.0,678,No,0
23.0,female,Bachelor,47769.0,2,MORTGAGE,10000.0,EDUCATION,7.51,0.21,2.0,692,No,0
35.0,male,Master,117276.0,12,MORTGAGE,25000.0,VENTURE,16.97,0.21,8.0,680,No,0
34.0,male,Bachelor,87473.0,9,MORTGAGE,18000.0,EDUCATION,15.64,0.21,9.0,682,Yes,0
27.0,male,Master,133145.0,1,MORTGAGE,30000.0,VENTURE,11.11,0.23,6.0,546,Yes,0
24.0,male,High School,35392.0,1,MORTGAGE,6000.0,MEDICAL,9.99,0.17,3.0,604,Yes,0
32.0,male,Associate,62129.0,9,RENT,15000.0,DEBTCONSOLIDATION,11.45,0.24,9.0,664,No,0
25.0,male,Associate,361124.0,1,MORTGAGE,24223.0,MEDICAL,18.68,0.07,3.0,601,Yes,0
30.0,female,High School,31902.0,8,MORTGAGE,6599.0,EDUCATION,10.48,0.21,7.0,647,No,0
26.0,female,Master,87279.0,4,MORTGAGE,10000.0,HOMEIMPROVEMENT,11.01,0.11,3.0,613,No,0
26.0,male,Associate,72861.0,4,RENT,12000.0,HOMEIMPROVEMENT,12.87,0.16,4.0,614,Yes,0
31.0,male,Associate,55365.0,8,MORTGAGE,6000.0,VENTURE,10.99,0.11,10.0,711,Yes,0
39.0,female,Associate,36814.0,14,RENT,6000.0,PERSONAL,10.75,0.16,14.0,509,No,0
44.0,male,Doctorate,52771.0,23,RENT,6000.0,MEDICAL,5.42,0.11,11.0,669,No,0
22.0,male,High School,61196.0,0,MORTGAGE,6800.0,VENTURE,6.92,0.11,4.0,573,No,0
23.0,male,High School,73020.0,0,MORTGAGE,10750.0,EDUCATION,7.88,0.15,3.0,619,No,0
31.0,female,High School,95456.0,9,RENT,10000.0,EDUCATION,11.41,0.1,8.0,689,Yes,0
22.0,female,Associate,61190.0,1,OWN,6400.0,VENTURE,6.92,0.1,4.0,652,No,0
34.0,female,Bachelor,192903.0,9,OWN,23722.0,PERSONAL,11.83,0.12,8.0,676,Yes,0
28.0,male,Associate,81379.0,5,RENT,5000.0,MEDICAL,14.26,0.06,6.0,623,No,0
21.0,male,Associate,33453.0,0,RENT,4800.0,EDUCATION,7.51,0.14,2.0,525,Yes,0
24.0,female,High School,35604.0,4,RENT,2500.0,DEBTCONSOLIDATION,11.36,0.07,4.0,617,No,0
36.0,male,Bachelor,48269.0,14,OWN,5000.0,VENTURE,5.79,0.1,16.0,691,No,0
25.0,male,Bachelor,65652.0,1,MORTGAGE,9533.0,PERSONAL,13.57,0.15,3.0,655,Yes,0
31.0,male,Associate,79179.0,4,RENT,7500.0,MEDICAL,10.95,0.09,10.0,587,Yes,0
29.0,female,High School,39999.0,5,RENT,7370.0,MEDICAL,11.75,0.18,5.0,534,Yes,0
26.0,male,Master,188159.0,1,MORTGAGE,15000.0,EDUCATION,12.81,0.08,4.0,668,Yes,0
30.0,female,Doctorate,190541.0,9,MORTGAGE,20875.0,DEBTCONSOLIDATION,11.68,0.11,8.0,627,Yes,0
44.0,female,Associate,45393.0,21,RENT,3500.0,EDUCATION,12.87,0.08,13.0,666,Yes,0
26.0,female,Bachelor,80460.0,5,MORTGAGE,15000.0,VENTURE,10.27,0.19,4.0,674,Yes,0
26.0,male,Associate,96837.0,2,MORTGAGE,3000.0,HOMEIMPROVEMENT,8.0,0.03,3.0,652,Yes,0
32.0,male,Master,126760.0,10,MORTGAGE,5000.0,MEDICAL,14.65,0.04,9.0,525,Yes,0
25.0,male,High School,96851.0,1,MORTGAGE,25000.0,MEDICAL,13.49,0.26,2.0,665,No,0
27.0,female,High School,74665.0,2,MORTGAGE,5700.0,HOMEIMPROVEMENT,11.12,0.08,6.0,568,Yes,0
24.0,female,Bachelor,109059.0,0,RENT,7000.0,MEDICAL,10.71,0.06,3.0,568,Yes,0
24.0,female,Master,81138.0,1,MORTGAGE,1120.0,MEDICAL,9.84,0.01,4.0,707,Yes,0
28.0,male,Doctorate,43937.0,5,MORTGAGE,1925.0,MEDICAL,15.23,0.04,8.0,657,Yes,0
30.0,female,Associate,26236.0,11,OWN,7750.0,EDUCATION,8.87,0.3,9.0,661,Yes,0
28.0,male,Bachelor,121835.0,6,MORTGAGE,15000.0,MEDICAL,8.94,0.12,9.0,674,No,0
25.0,female,Associate,116433.0,1,RENT,12000.0,VENTURE,11.99,0.1,3.0,660,Yes,0
26.0,male,High School,102928.0,2,MORTGAGE,15000.0,DEBTCONSOLIDATION,12.73,0.15,3.0,631,Yes,0
23.0,female,High School,63402.0,0,RENT,5000.0,PERSONAL,7.49,0.08,3.0,654,Yes,0
23.0,female,Bachelor,97085.0,3,MORTGAGE,3000.0,PERSONAL,5.99,0.03,3.0,553,Yes,0
26.0,female,Master,49214.0,8,MORTGAGE,7200.0,EDUCATION,7.49,0.15,2.0,705,No,0
26.0,male,Bachelor,64743.0,1,RENT,15000.0,VENTURE,10.39,0.23,4.0,608,Yes,0
28.0,male,High School,46241.0,4,MORTGAGE,4000.0,EDUCATION,11.71,0.09,8.0,694,No,0
30.0,female,Associate,56403.0,7,OWN,6000.0,PERSONAL,12.68,0.11,6.0,690,Yes,0
39.0,female,Associate,66950.0,17,OWN,1000.0,VENTURE,11.09,0.01,16.0,682,Yes,0
28.0,female,Master,77969.0,6,RENT,10000.0,DEBTCONSOLIDATION,10.65,0.13,7.0,699,Yes,0
25.0,female,Bachelor,38473.0,7,OWN,15000.0,PERSONAL,6.03,0.39,4.0,624,Yes,0
23.0,male,Associate,91016.0,1,RENT,5000.0,VENTURE,11.01,0.05,3.0,650,Yes,0
34.0,male,Associate,69105.0,10,RENT,10000.0,EDUCATION,11.14,0.14,8.0,573,Yes,0
25.0,female,High School,91042.0,5,RENT,10000.0,PERSONAL,7.49,0.11,3.0,675,Yes,0
33.0,female,Master,150887.0,10,RENT,12000.0,EDUCATION,15.68,0.08,8.0,603,Yes,0
34.0,female,Bachelor,166629.0,8,MORTGAGE,25000.0,MEDICAL,11.12,0.15,6.0,675,Yes,0
23.0,male,Master,48943.0,4,OWN,15000.0,EDUCATION,12.45,0.31,4.0,699,No,0
25.0,male,High School,73841.0,0,RENT,14400.0,PERSONAL,12.53,0.2,2.0,678,No,0
24.0,female,Associate,94887.0,3,MORTGAGE,4566.0,EDUCATION,9.42,0.05,3.0,684,Yes,0
22.0,male,Associate,47164.0,0,MORTGAGE,10000.0,EDUCATION,14.15,0.21,3.0,661,Yes,0
25.0,female,High School,29736.0,6,RENT,2000.0,EDUCATION,11.2,0.07,3.0,612,Yes,0
23.0,male,Associate,58429.0,4,RENT,7200.0,PERSONAL,14.27,0.12,3.0,650,Yes,0
24.0,female,Associate,120885.0,3,MORTGAGE,15000.0,EDUCATION,12.21,0.12,2.0,524,Yes,0
27.0,male,Associate,42830.0,4,RENT,7000.0,VENTURE,12.69,0.16,5.0,643,Yes,0
32.0,male,High School,49056.0,8,RENT,4000.0,MEDICAL,13.79,0.08,6.0,557,Yes,0
38.0,male,High School,50551.0,13,RENT,6000.0,DEBTCONSOLIDATION,13.61,0.12,17.0,699,Yes,0
25.0,male,High School,132324.0,2,MORTGAGE,14000.0,EDUCATION,9.63,0.11,3.0,678,Yes,0
36.0,female,High School,45545.0,13,MORTGAGE,7000.0,PERSONAL,6.91,0.15,13.0,636,Yes,0
34.0,male,High School,48842.0,11,RENT,5000.0,EDUCATION,12.53,0.1,5.0,641,Yes,0
33.0,female,High School,133111.0,7,MORTGAGE,5000.0,MEDICAL,7.51,0.04,7.0,594,Yes,0
30.0,female,High School,61234.0,9,MORTGAGE,5000.0,MEDICAL,10.98,0.08,8.0,686,No,0
33.0,male,Master,53144.0,12,RENT,10000.0,PERSONAL,6.92,0.19,6.0,674,Yes,0
22.0,female,Bachelor,39626.0,0,RENT,5000.0,DEBTCONSOLIDATION,7.68,0.13,4.0,676,No,0
24.0,male,High School,102812.0,2,RENT,10000.0,PERSONAL,16.0,0.1,3.0,601,Yes,0
40.0,male,High School,77785.0,18,MORTGAGE,12000.0,EDUCATION,10.25,0.15,17.0,627,Yes,0
23.0,male,Associate,52637.0,4,RENT,3000.0,EDUCATION,8.49,0.06,4.0,649,Yes,0
39.0,female,High School,92835.0,14,RENT,6400.0,VENTURE,11.01,0.07,15.0,615,Yes,0
53.0,female,Associate,72980.0,32,RENT,4425.0,MEDICAL,8.9,0.06,29.0,690,Yes,0
54.0,female,Associate,35824.0,31,MORTGAGE,2500.0,PERSONAL,11.71,0.07,28.0,626,Yes,0
29.0,male,Bachelor,72891.0,7,RENT,2075.0,PERSONAL,15.23,0.03,7.0,601,Yes,0
29.0,male,Bachelor,127034.0,5,MORTGAGE,12000.0,VENTURE,6.62,0.09,7.0,602,Yes,0
27.0,female,Associate,82402.0,1,RENT,6500.0,DEBTCONSOLIDATION,7.51,0.08,7.0,527,Yes,0
36.0,female,High School,164394.0,17,MORTGAGE,4800.0,VENTURE,14.72,0.03,15.0,670,Yes,0
31.0,female,High School,313060.0,7,MORTGAGE,25000.0,MEDICAL,13.57,0.08,6.0,670,No,0
25.0,male,Bachelor,98818.0,2,MORTGAGE,10000.0,HOMEIMPROVEMENT,14.93,0.1,3.0,522,Yes,0
22.0,female,Associate,72774.0,0,RENT,7500.0,EDUCATION,11.34,0.1,4.0,574,Yes,0
24.0,male,Associate,106151.0,0,MORTGAGE,12000.0,VENTURE,5.42,0.11,2.0,555,Yes,0
25.0,male,Bachelor,81561.0,2,RENT,7500.0,MEDICAL,12.18,0.09,4.0,641,Yes,0
25.0,male,Associate,90920.0,2,MORTGAGE,12000.0,DEBTCONSOLIDATION,11.49,0.13,3.0,637,No,0
25.0,male,Associate,54736.0,1,RENT,11100.0,PERSONAL,13.11,0.2,2.0,647,Yes,0
29.0,male,Associate,150946.0,4,RENT,3000.0,EDUCATION,10.69,0.02,6.0,597,Yes,0
30.0,female,High School,116044.0,12,MORTGAGE,17000.0,EDUCATION,10.62,0.15,10.0,627,No,0
23.0,male,Bachelor,84982.0,0,MORTGAGE,20000.0,EDUCATION,6.17,0.24,2.0,668,No,0
25.0,female,Master,103152.0,3,RENT,10000.0,MEDICAL,11.4,0.1,6.0,646,Yes,0
24.0,female,Master,81639.0,4,RENT,20000.0,HOMEIMPROVEMENT,13.48,0.24,2.0,681,No,0
28.0,male,Bachelor,79099.0,2,MORTGAGE,6241.0,PERSONAL,11.3,0.08,4.0,708,No,0
25.0,male,High School,24430.0,0,RENT,1943.0,MEDICAL,10.83,0.08,4.0,625,Yes,0
27.0,female,High School,150041.0,5,MORTGAGE,24250.0,DEBTCONSOLIDATION,11.01,0.16,7.0,604,Yes,0
26.0,male,Associate,39118.0,2,RENT,6400.0,EDUCATION,14.35,0.16,4.0,461,Yes,0
24.0,male,Master,49905.0,0,RENT,8200.0,MEDICAL,11.36,0.16,4.0,662,No,0
23.0,female,Bachelor,96697.0,2,MORTGAGE,24000.0,DEBTCONSOLIDATION,11.71,0.25,3.0,650,No,0
22.0,male,High School,93034.0,1,MORTGAGE,12400.0,MEDICAL,7.51,0.13,4.0,659,No,0
34.0,male,Bachelor,95358.0,12,MORTGAGE,4800.0,PERSONAL,9.32,0.05,6.0,605,Yes,0
22.0,male,High School,69934.0,0,MORTGAGE,21000.0,MEDICAL,11.48,0.3,3.0,642,Yes,0
27.0,male,Bachelor,110101.0,8,MORTGAGE,14700.0,DEBTCONSOLIDATION,7.88,0.13,6.0,670,No,0
24.0,female,Master,63511.0,3,RENT,8400.0,VENTURE,6.45,0.13,4.0,691,Yes,0
25.0,male,High School,140185.0,3,RENT,10000.0,DEBTCONSOLIDATION,14.26,0.07,4.0,534,Yes,0
22.0,male,Bachelor,66041.0,0,RENT,12000.0,VENTURE,8.49,0.18,4.0,609,Yes,0
25.0,male,High School,87192.0,3,MORTGAGE,14000.0,EDUCATION,12.42,0.16,2.0,596,Yes,0
33.0,female,Associate,43102.0,8,MORTGAGE,6000.0,DEBTCONSOLIDATION,11.01,0.14,9.0,674,Yes,0
24.0,male,Associate,44069.0,0,RENT,1500.0,PERSONAL,10.0,0.03,3.0,646,Yes,0
28.0,female,Associate,60846.0,7,RENT,14000.0,VENTURE,19.04,0.23,5.0,664,No,0
26.0,female,Associate,33432.0,5,RENT,5800.0,MEDICAL,10.65,0.17,3.0,633,No,0
33.0,male,Doctorate,118277.0,8,MORTGAGE,20000.0,VENTURE,6.91,0.17,7.0,678,No,0
25.0,male,Associate,73210.0,4,RENT,15000.0,DEBTCONSOLIDATION,12.99,0.2,4.0,599,Yes,0
23.0,female,Associate,108628.0,0,MORTGAGE,17000.0,VENTURE,10.44,0.16,4.0,696,Yes,0
25.0,male,Bachelor,87406.0,6,MORTGAGE,4800.0,DEBTCONSOLIDATION,10.65,0.05,3.0,621,Yes,0
22.0,male,Bachelor,46713.0,3,OWN,3000.0,VENTURE,12.92,0.06,3.0,650,No,0
27.0,female,Bachelor,60684.0,5,MORTGAGE,8000.0,VENTURE,6.75,0.13,5.0,701,No,0
24.0,male,Associate,99773.0,5,RENT,9985.0,EDUCATION,5.92,0.1,4.0,605,No,0
22.0,male,High School,64968.0,0,MORTGAGE,4000.0,DEBTCONSOLIDATION,10.39,0.06,2.0,567,Yes,0
28.0,male,Associate,102482.0,6,MORTGAGE,9600.0,HOMEIMPROVEMENT,15.27,0.09,5.0,649,Yes,0
38.0,male,High School,98472.0,17,RENT,24000.0,HOMEIMPROVEMENT,8.49,0.24,13.0,564,Yes,0
26.0,male,High School,59002.0,5,MORTGAGE,10000.0,MEDICAL,11.01,0.17,3.0,614,No,0
22.0,male,Associate,79029.0,1,MORTGAGE,13000.0,DEBTCONSOLIDATION,10.38,0.16,2.0,609,Yes,0
25.0,female,High School,130715.0,3,MORTGAGE,24250.0,HOMEIMPROVEMENT,10.75,0.19,2.0,654,No,0
37.0,male,Associate,66560.0,17,RENT,9600.0,PERSONAL,9.99,0.14,12.0,548,No,0
28.0,female,High School,75361.0,8,RENT,10411.0,EDUCATION,13.25,0.14,10.0,498,Yes,0
28.0,female,Associate,121347.0,0,MORTGAGE,11156.0,DEBTCONSOLIDATION,12.53,0.09,3.0,639,Yes,0
