Program Year,CE ID,CE Name,ESC Region,Review ID,Review Date,Finding Area,Question Number,"Question
(For more details, USDA provides information on the forms referenced in this column on their Website.)"
2015 - 2016,01340,MONTGOMERY COUNTY JUVENILE DEPARTMENT,6,14697,09/16/2015,1400 - Food Safety,1406,Were the selected relevant temperature logs available for review? If YES to specify which date was selected. If NO explain.
2015 - 2016,01340,MONTGOMERY COUNTY JUVENILE DEPARTMENT,6,14697,09/16/2015,200 - Verification,200,Obtain a copy of the SFA’s most recently submitted FNS-742 (Verification Collection Report).
2015 - 2016,01340,MONTGOMERY COUNTY JUVENILE DEPARTMENT,6,14697,09/16/2015,400 - Meal Components and Quantities - Breakfast,411,a. Do planned menu quantities meet meal pattern requirements for the review period?
2015 - 2016,01340,MONTGOMERY COUNTY JUVENILE DEPARTMENT,6,14697,09/16/2015,400 - Meal Components and Quantities - Breakfast,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,01340,MONTGOMERY COUNTY JUVENILE DEPARTMENT,6,14697,09/16/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,01340,MONTGOMERY COUNTY JUVENILE DEPARTMENT,6,14697,09/16/2015,400 - Meal Components and Quantities - Lunch,411,a. Do planned menu quantities  meet meal pattern requirements for the review period?
2015 - 2016,01340,MONTGOMERY COUNTY JUVENILE DEPARTMENT,6,14697,09/16/2015,Resource Mgt Comprehensive Review (2015),Step 5,Was the SFA compliant with net cash resources requirements in 7 CFR 210.14?
2015 - 2016,01310,"ROY MAAS YOUTH ALTERNATIVES, INC",20,14677,09/22/2015,100 - Certification and Benefit Issuance,138,"Did the SFA update the benefit issuance document(s) accurately and in a timely manner, including those students that are new, transferred, or withdrawn?  If NO, explain.  Record errors on the Eligibility Certification and Benefit Issuance Error Worksheet (SFA-1)."
2015 - 2016,01251,"YOUTH AND FAMILY ENRICHMENT CENTERS, INC",7,14638,09/22/2015,1400 - Food Safety,1406,Were the selected relevant temperature logs available for review? If YES to specify which date was selected. If NO explain.
2015 - 2016,01251,"YOUTH AND FAMILY ENRICHMENT CENTERS, INC",7,14638,09/22/2015,1700 - Afterschool Snack,1707,a. Has the program been monitored within the first 4 weeks of operation each year?
2015 - 2016,01251,"YOUTH AND FAMILY ENRICHMENT CENTERS, INC",7,14638,09/22/2015,400 - Meal Components and Quantities - Breakfast,411,a. Do planned menu quantities meet meal pattern requirements for the review period?
2015 - 2016,01251,"YOUTH AND FAMILY ENRICHMENT CENTERS, INC",7,14638,09/22/2015,400 - Meal Components and Quantities - Breakfast,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,01251,"YOUTH AND FAMILY ENRICHMENT CENTERS, INC",7,14638,09/22/2015,400 - Meal Components and Quantities - Breakfast,407,"If school is serving multiple menus and/or age/grade groups, is the meal service structured to comply with the required age/grade group meal pattern requirements?"
2015 - 2016,01251,"YOUTH AND FAMILY ENRICHMENT CENTERS, INC",7,14638,09/22/2015,400 - Meal Components and Quantities - Lunch,411,a. Do planned menu quantities  meet meal pattern requirements for the review period?
2015 - 2016,01251,"YOUTH AND FAMILY ENRICHMENT CENTERS, INC",7,14638,09/22/2015,400 - Meal Components and Quantities - Lunch,402,Are the minimum daily quantity requirements met for the age/grade group being served?
2015 - 2016,01251,"YOUTH AND FAMILY ENRICHMENT CENTERS, INC",7,14638,09/22/2015,400 - Meal Components and Quantities - Lunch,407,"If school is serving multiple menus and/or age/grade groups, is the meal service structured to comply with the required age/grade group meal pattern requirements?"
2015 - 2016,01251,"YOUTH AND FAMILY ENRICHMENT CENTERS, INC",7,14638,09/22/2015,800 - Civil Rights,803,"What is the SFA’s procedure for receiving and processing complaints alleging discrimination within FNS School Meal Programs?   If procedures are written, provide a copy."
2015 - 2016,01251,"YOUTH AND FAMILY ENRICHMENT CENTERS, INC",7,14638,09/22/2015,800 - Civil Rights,800,What is the non-discrimination statement that is used for appropriate Program materials (please provide exact language)?
2015 - 2016,01251,"YOUTH AND FAMILY ENRICHMENT CENTERS, INC",7,14638,09/22/2015,800 - Civil Rights,806,"When was the SFA’s most recent civil rights training for staff who interact with program applicants or participants (i.e., cafeteria staff, F/R application approval staff) and their supervisors?    Provide supporting documentation for the responses."
2015 - 2016,01251,"YOUTH AND FAMILY ENRICHMENT CENTERS, INC",7,14638,09/22/2015,Additional Review Questions,7,"Is the CE conducting a contract performance administration for the return of discounts, rebates and credits for purchased foods, as well as the return of the value of USDA Foods to the nonprofit food service account?"
2015 - 2016,01198,AMIKIDS RIO GRANDE VALLEY,1,14769,09/23/2015,1700 - Afterschool Snack,1706,Review production records for a minimum of 5 days from the review period.
2015 - 2016,01198,AMIKIDS RIO GRANDE VALLEY,1,14769,09/23/2015,1700 - Afterschool Snack,1707,a. Has the program been monitored within the first 4 weeks of operation each year?
2015 - 2016,01198,AMIKIDS RIO GRANDE VALLEY,1,14769,09/23/2015,400 - Meal Components and Quantities - Breakfast,411,a. Do planned menu quantities meet meal pattern requirements for the review period?
2015 - 2016,01198,AMIKIDS RIO GRANDE VALLEY,1,14769,09/23/2015,700 - Resource Management (2015),702,Did the SFA have a separate financial account for the nonprofit school food service?
2015 - 2016,01300,LUBBOCK COUNTY JUVENILE JUSTICE CENTER,17,14668,09/23/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,01188,NEW HORIZONS RANCH AND CENTER INC,12,14595,09/23/2015,1400 - Food Safety,1406,Were the selected relevant temperature logs available for review? If YES to specify which date was selected. If NO explain.
2015 - 2016,01188,NEW HORIZONS RANCH AND CENTER INC,12,14595,09/23/2015,1400 - Food Safety,1405,"Was the SFA's written food safety plan implemented?   If NO, explain."
2015 - 2016,01188,NEW HORIZONS RANCH AND CENTER INC,12,14595,09/23/2015,1400 - Food Safety,1407,"Were on-site (or Off-site, if observed) storage violations observed?  If YES, explain."
2015 - 2016,01188,NEW HORIZONS RANCH AND CENTER INC,12,14595,09/23/2015,400 - Meal Components and Quantities - Lunch,411,a. Do planned menu quantities  meet meal pattern requirements for the review period?
2015 - 2016,01216,NUECES COUNTY JUVENILE PROBATION DEPT,2,14611,09/23/2015,400 - Meal Components and Quantities - Lunch,403,a. Was fluid milk available in at least the two required varieties throughout the serving period on all meal service lines?
2015 - 2016,01216,NUECES COUNTY JUVENILE PROBATION DEPT,2,14611,09/23/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,01225,BCFS HEALTH AND HUMAN SERVICES,20,14619,09/29/2015,1700 - Afterschool Snack,1704,a. Are snacks being properly counted and claimed?
2015 - 2016,01225,BCFS HEALTH AND HUMAN SERVICES,20,14619,09/29/2015,1700 - Afterschool Snack,1704,a. Are snacks being properly counted and claimed?
2015 - 2016,01225,BCFS HEALTH AND HUMAN SERVICES,20,14619,09/29/2015,300 - Meal Counting and Claiming - Lunch,325,"a. For the review period, complete S-1, 19."
2015 - 2016,01195,CLARITY CHILD GUIDANCE CENTER,20,14600,09/29/2015,300 - Meal Counting and Claiming,314,"Is the SFA following their approved SFA-SA Agreement/application (including POS)?  If NO, explain."
2015 - 2016,01368,"SOUTHWEST KEY PROGRAMS, INC.",13,14712,09/29/2015,200 - Verification,208,"When a confirmation review was conducted,"
2015 - 2016,01368,"SOUTHWEST KEY PROGRAMS, INC.",13,14712,09/29/2015,400 - Meal Components and Quantities - Breakfast,411,a. Do planned menu quantities meet meal pattern requirements for the review period?
2015 - 2016,01368,"SOUTHWEST KEY PROGRAMS, INC.",13,14712,09/29/2015,400 - Meal Components and Quantities - Breakfast,411,a. Do planned menu quantities meet meal pattern requirements for the review period?
2015 - 2016,01368,"SOUTHWEST KEY PROGRAMS, INC.",13,14712,09/29/2015,400 - Meal Components and Quantities - Lunch,408,a. Has the school complied with the planned menu for the day of review?
2015 - 2016,00212,RICE CONS ISD,3,18180,10/06/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00212,RICE CONS ISD,3,18180,10/06/2015,100 - Certification and Benefit Issuance,138,"Did the SFA update the benefit issuance document(s) accurately and in a timely manner, including those students that are new, transferred, or withdrawn?  If NO, explain.  Record errors on the Eligibility Certification and Benefit Issuance Error Worksheet (SFA-1)."
2015 - 2016,00212,RICE CONS ISD,3,18180,10/06/2015,200 - Verification,209,Based on the review of verified applications:
2015 - 2016,00212,RICE CONS ISD,3,18180,10/06/2015,Additional Review Questions,7,"Is the CE conducting a contract performance administration for the return of discounts, rebates and credits for purchased foods, as well as the return of the value of USDA Foods to the nonprofit food service account?"
2015 - 2016,00212,RICE CONS ISD,3,18180,10/06/2015,Additional Review Questions,6.,Does the CE have an exclusive beverage contract?
2015 - 2016,00682,FORNEY ISD,10,14103,10/07/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00682,FORNEY ISD,10,14103,10/07/2015,1100 - Smart Snacks,1100,What are the SFA’s food sale policies? List all types of sales to include the selling of non-food items in combination with food items.
2015 - 2016,00682,FORNEY ISD,10,14103,10/07/2015,1300 - Water,1300,Is free potable water available to all students for lunch (in each location where lunches are served during the meal service) and for breakfast (when breakfast is served in the cafeteria)?
2015 - 2016,00682,FORNEY ISD,10,14103,10/07/2015,200 - Verification,200,Obtain a copy of the SFA’s most recently submitted FNS-742 (Verification Collection Report).
2015 - 2016,00682,FORNEY ISD,10,14103,10/07/2015,200 - Verification,208,"When a confirmation review was conducted,"
2015 - 2016,00682,FORNEY ISD,10,14103,10/07/2015,400 - Meal Components and Quantities - Breakfast,404,"Is there signage explaining what constitutes a reimbursable breakfast to students?  If NO, explain and list the technical assistance provided."
2015 - 2016,00682,FORNEY ISD,10,14103,10/07/2015,900 - SFA On Site Monitoring,901,a. Was the on-site review of the meal counting and claiming procedure completed prior to February 1?
2015 - 2016,00682,FORNEY ISD,10,14103,10/07/2015,Additional Review Questions,7,"Is the CE conducting a contract performance administration for the return of discounts, rebates and credits for purchased foods, as well as the return of the value of USDA Foods to the nonprofit food service account?"
2015 - 2016,00859,DEWEYVILLE ISD,5,14280,10/08/2015,400 - Meal Components and Quantities - Breakfast,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,00859,DEWEYVILLE ISD,5,14280,10/08/2015,700 - Resource Management (2015),710,Did the SFA use the USDA Nonprogram Food Revenue Tool or a USDA-approved alternative method to calculate its nonprogram food costs and nonprogram food revenues?
2015 - 2016,00410,FRIENDSWOOD ISD,4,18186,10/08/2015,100 - Certification and Benefit Issuance,138,"Did the SFA update the benefit issuance document(s) accurately and in a timely manner, including those students that are new, transferred, or withdrawn?  If NO, explain.  Record errors on the Eligibility Certification and Benefit Issuance Error Worksheet (SFA-1)."
2015 - 2016,00410,FRIENDSWOOD ISD,4,18186,10/08/2015,100 - Certification and Benefit Issuance,131,"Are any applications denied incorrectly?  If YES, record student names on the SFA-2."
2015 - 2016,00410,FRIENDSWOOD ISD,4,18186,10/08/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00410,FRIENDSWOOD ISD,4,18186,10/08/2015,100 - Certification and Benefit Issuance,111,Does the SFA use the direct certification notification letter provided by the State agency?
2015 - 2016,00410,FRIENDSWOOD ISD,4,18186,10/08/2015,100 - Certification and Benefit Issuance,140,"Did the SFA update benefit issuance documents accurately and in a timely manner upon receipt of Direct Certification updates?  If NO, explain.  Record errors on the SFA-1."
2015 - 2016,00410,FRIENDSWOOD ISD,4,18186,10/08/2015,1500 - Reporting and Recordkeeping,1500,"Are reports submitted to the State Agency as required?   If NO, explain."
2015 - 2016,00410,FRIENDSWOOD ISD,4,18186,10/08/2015,200 - Verification,212,"Did the SFA meet the follow-up requirements if the household failed to respond to the request for verification?  If NO, explain"
2015 - 2016,00410,FRIENDSWOOD ISD,4,18186,10/08/2015,200 - Verification,214,"If a student’s eligibility changed due to verification,"
2015 - 2016,00410,FRIENDSWOOD ISD,4,18186,10/08/2015,200 - Verification,213,"If applicable, did the SFA’s notice of adverse action contain all required information, including notification of appeal rights?  If NO, explain."
2015 - 2016,00410,FRIENDSWOOD ISD,4,18186,10/08/2015,200 - Verification,211,"Does the SFA’s verification notification letter include all required information?   If NO, explain."
2015 - 2016,00410,FRIENDSWOOD ISD,4,18186,10/08/2015,700 - Resource Management (2015),707,Did the SFA charge the minimum target paid lunch price at all sites or use the USDA Paid Lunch Equity Tool to evaluate its paid lunch prices?
2015 - 2016,00410,FRIENDSWOOD ISD,4,18186,10/08/2015,800 - Civil Rights,806,"When was the SFA’s most recent civil rights training for staff who interact with program applicants or participants (i.e., cafeteria staff, F/R application approval staff) and their supervisors?    Provide supporting documentation for the responses."
2015 - 2016,01297,IMMANUEL LUTHERAN SCHOOL,13,14665,10/08/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,01297,IMMANUEL LUTHERAN SCHOOL,13,14665,10/08/2015,500 - Offer versus Serve,502,"Is there signage explaining what constitutes a reimbursable meal to students including the requirement to select at least 1/2 cup fruit or vegetable?  If NO, explain and list the technical assistance provided."
2015 - 2016,01383,LEADERS OF TEXAS FOUNDATION INC.,4,14725,10/12/2015,300 - Meal Counting and Claiming - Breakfast,318,"At the selected school(s), does each type of meal service line as observed on the day of review provide an accurate count by eligibility category at the point of service (or approved alternate)?"
2015 - 2016,01383,LEADERS OF TEXAS FOUNDATION INC.,4,14725,10/12/2015,400 - Meal Components and Quantities - Lunch,411,a. Do planned menu quantities  meet meal pattern requirements for the review period?
2015 - 2016,01302,"TEXAS BOYS RANCH, INC",17,14670,10/12/2015,1400 - Food Safety,1403,"a. In the comments section, list the dates of the two (2) most recent food safety inspections."
2015 - 2016,01302,"TEXAS BOYS RANCH, INC",17,14670,10/12/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,01257,DEPELCHIN CHILDREN'S CENTER,4,14640,10/13/2015,400 - Meal Components and Quantities - Lunch,411,a. Do planned menu quantities  meet meal pattern requirements for the review period?
2015 - 2016,01257,DEPELCHIN CHILDREN'S CENTER,4,14640,10/13/2015,SFAs Contracting with FSMCs Review Form,,
2015 - 2016,01257,DEPELCHIN CHILDREN'S CENTER,4,14640,10/13/2015,SFAs Contracting with FSMCs Review Form,4,"Does the SFA retain control of the nonprofit school food service account and overall financial responsibility for the school nutrition programs?  If NO, explain."
2015 - 2016,00097,MERIDIAN ISD,12,18274,10/13/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,01261,METHODIST CHILDREN'S HOME,12,14641,10/13/2015,1700 - Afterschool Snack,1707,a. Has the program been monitored within the first 4 weeks of operation each year?
2015 - 2016,01261,METHODIST CHILDREN'S HOME,12,14641,10/13/2015,200 - Verification,208,"When a confirmation review was conducted,"
2015 - 2016,01261,METHODIST CHILDREN'S HOME,12,14641,10/13/2015,200 - Verification,211,"Does the SFA’s verification notification letter include all required information?   If NO, explain."
2015 - 2016,01261,METHODIST CHILDREN'S HOME,12,14641,10/13/2015,300 - Meal Counting and Claiming,316,All Schools for the Review Period
2015 - 2016,01261,METHODIST CHILDREN'S HOME,12,14641,10/13/2015,Additional Review Questions,1,Were funds expensed on something that would improve the Direct Certification process?
2015 - 2016,00057,SOUTHWEST PREPARATORY SCHOOL,20,18331,10/13/2015,100 - Certification and Benefit Issuance,128,"Are the correct conversion factors used when processing applications that indicate more than one income frequency?  If NO, explain."
2015 - 2016,00057,SOUTHWEST PREPARATORY SCHOOL,20,18331,10/13/2015,100 - Certification and Benefit Issuance,137,"Did the SFA accurately transfer the correct benefit from the eligibility determination document to the Point of Service benefit issuance document?  If NO, explain.  Record errors on the SFA-1."
2015 - 2016,00057,SOUTHWEST PREPARATORY SCHOOL,20,18331,10/13/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00057,SOUTHWEST PREPARATORY SCHOOL,20,18331,10/13/2015,700 - Resource Management (2015),703,Did the SFA conduct a year-end review of total revenues and expenses to determine the school food service’s nonprofit status?
2015 - 2016,00057,SOUTHWEST PREPARATORY SCHOOL,20,18331,10/13/2015,Resource Mgt Comprehensive Review (2015),8,"Were breakfasts and lunches served to teachers, administrators, custodians and other adults priced so that the adult payment in combination with any per-lunch revenues from other sources designated specifically for the support of adult meals (such as State or local fringe benefit or payroll funds, or funding from voluntary agencies) was sufficient to cover the overall cost of the lunch?"
2015 - 2016,00057,SOUTHWEST PREPARATORY SCHOOL,20,18331,10/13/2015,Resource Mgt Comprehensive Review (2015),1,"Review the year-end Statement of Revenues and Expenses from the nonprofit school food service account. Were general expenses reasonable, necessary, and allocable?"
2015 - 2016,00057,SOUTHWEST PREPARATORY SCHOOL,20,18331,10/13/2015,Resource Mgt Comprehensive Review (2015),4,"a. Validate the SFA’s Paid Lunch Equity calculations by cross-checking the data the reviewer gathered above with data used by the SFA.  If the data is different, verify the calculations by inputting the figures gathered from the SFA into the USDA Paid Lunch Equity Tool.  Did the SFA correctly determine the paid lunch pricing?"
2015 - 2016,01330,ST JAMES THE APOSTLE CATHOLIC CHURCH,20,14689,10/13/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,01330,ST JAMES THE APOSTLE CATHOLIC CHURCH,20,14689,10/13/2015,1000 - Local School Wellness Policy,1000,"Does the SFA have a Local School Wellness Policy? If yes, provide a copy of the policy or enter the appropriate web address in the Comments section."
2015 - 2016,01330,ST JAMES THE APOSTLE CATHOLIC CHURCH,20,14689,10/13/2015,1400 - Food Safety,1402,Is a copy of the written food safety plan available?
2015 - 2016,01330,ST JAMES THE APOSTLE CATHOLIC CHURCH,20,14689,10/13/2015,1500 - Reporting and Recordkeeping,1501,"Are records retained for 3 years after the final claim for reimbursement for the fiscal year or until resolution of any audits?   If NO, explain."
2015 - 2016,01330,ST JAMES THE APOSTLE CATHOLIC CHURCH,20,14689,10/13/2015,200 - Verification,208,"When a confirmation review was conducted,"
2015 - 2016,01330,ST JAMES THE APOSTLE CATHOLIC CHURCH,20,14689,10/13/2015,300 - Meal Counting and Claiming - Breakfast,318,"At the selected school(s), does each type of meal service line as observed on the day of review provide an accurate count by eligibility category at the point of service (or approved alternate)?"
2015 - 2016,01330,ST JAMES THE APOSTLE CATHOLIC CHURCH,20,14689,10/13/2015,400 - Meal Components and Quantities - Breakfast,400,a. Were all required meal components available on every reimbursable meal service line to all participating students prior to the beginning of meal service?
2015 - 2016,01330,ST JAMES THE APOSTLE CATHOLIC CHURCH,20,14689,10/13/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,01330,ST JAMES THE APOSTLE CATHOLIC CHURCH,20,14689,10/13/2015,Resource Mgt Comprehensive Review (2015),Step 1,Total Nonprofit Food Service Revenues for the SFA
2015 - 2016,01330,ST JAMES THE APOSTLE CATHOLIC CHURCH,20,14689,10/13/2015,Resource Mgt Comprehensive Review (2015),8,"Were breakfasts and lunches served to teachers, administrators, custodians and other adults priced so that the adult payment in combination with any per-lunch revenues from other sources designated specifically for the support of adult meals (such as State or local fringe benefit or payroll funds, or funding from voluntary agencies) was sufficient to cover the overall cost of the lunch?"
2015 - 2016,00164,WHITE DEER ISD,16,13606,10/13/2015,100 - Certification and Benefit Issuance,128,"Are the correct conversion factors used when processing applications that indicate more than one income frequency?  If NO, explain."
2015 - 2016,00164,WHITE DEER ISD,16,13606,10/13/2015,100 - Certification and Benefit Issuance,126,a. Certification and Benefit Issuance Review Method:
2015 - 2016,00164,WHITE DEER ISD,16,13606,10/13/2015,200 - Verification,208,"When a confirmation review was conducted,"
2015 - 2016,00164,WHITE DEER ISD,16,13606,10/13/2015,400 - Meal Components and Quantities - Breakfast,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,00349,YSLETA ISD,19,18325,10/13/2015,300 - Meal Counting and Claiming - Lunch,320,Are meal count totals by category combined and recorded correctly?
2015 - 2016,00349,YSLETA ISD,19,18325,10/13/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,00349,YSLETA ISD,19,18325,10/13/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,00349,YSLETA ISD,19,18325,10/13/2015,400 - Meal Components and Quantities - Lunch,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
