id,timestamp,qtr,dept,weekday,group,planned_efficiency,std_min_value,work_in_progress,extra_hours,bonus,downtime,inactive_workers,style_changes,num_workers,real_efficiency
869,2/22/2015,Q4,A,Sunday,4,0.8,30.1,922.0,5820,63,0.0,0,1,59.0,0.80000295
705,2/10/2015,Q2,B,Tuesday,8,0.35,4.15,,960,0,0.0,0,0,8.0,0.703770833
962,2/26/2015,Q4,B,Thursday,8,0.75,4.6,,3360,0,0.0,0,0,8.0,0.376597222
125,1/7/2015,Q1,B,Wednesday,5,0.7,4.15,,1440,0,0.0,0,0,8.0,0.330113636
1044,3/3/2015,Q1,B,Tuesday,5,0.7,4.6,,3360,0,0.0,0,0,8.0,0.354444444
902,2/23/2015,Q4,B,Monday,7,0.7,5.13,,960,0,0.0,0,0,8.0,0.356458333
390,1/22/2015,Q4,B,Thursday,3,0.7,3.94,,12000,0,0.0,0,0,20.0,0.460578704
33,1/3/2015,Q1,B,Saturday,2,0.8,4.15,,960,0,0.0,0,0,8.0,0.782447917
646,2/7/2015,Q1,B,Saturday,9,0.8,3.94,,960,0,0.0,0,0,8.0,0.771583333
1162,3/10/2015,Q2,A,Tuesday,10,0.75,21.82,1499.0,6000,34,0.0,0,0,50.0,0.750608
272,1/15/2015,Q3,A,Thursday,3,0.5,22.52,1102.0,10170,30,0.0,0,0,56.5,0.660683293
329,1/19/2015,Q3,A,Monday,11,0.7,14.89,1484.0,10260,50,0.0,0,0,57.0,0.700170388
488,1/28/2015,Q4,A,Wednesday,9,0.7,29.12,1340.0,6960,63,0.0,0,0,58.0,0.750593103
1036,3/3/2015,Q1,B,Tuesday,8,0.75,4.6,,3360,0,0.0,0,0,8.0,0.702777778
433,1/25/2015,Q4,B,Sunday,12,0.7,4.08,,1620,0,0.0,0,0,9.0,0.618181818
387,1/22/2015,Q4,A,Thursday,7,0.6,22.52,1859.0,10260,23,0.0,0,0,57.0,0.60041361
703,2/10/2015,Q2,A,Tuesday,11,0.8,10.05,13.0,3240,34,0.0,0,0,54.0,0.750648148
1086,3/5/2015,Q1,A,Thursday,6,0.35,22.53,1450.0,2640,0,0.0,0,1,39.0,0.26369382
1160,3/10/2015,Q2,A,Tuesday,11,0.8,11.41,338.0,3420,50,0.0,0,0,58.0,0.800034503
818,2/17/2015,Q3,A,Tuesday,8,0.6,29.4,179.0,0,23,5.0,30,2,58.0,0.600982906
105,1/7/2015,Q1,B,Wednesday,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.880530303
1039,3/3/2015,Q1,B,Tuesday,12,0.8,4.6,,3780,0,0.0,0,0,9.0,0.636049383
596,2/3/2015,Q1,B,Tuesday,4,0.8,4.3,,1440,0,0.0,0,0,12.0,0.5375
445,1/26/2015,Q4,A,Monday,3,0.75,22.52,1584.0,10260,69,0.0,0,0,57.0,0.80035194
816,2/17/2015,Q3,A,Tuesday,5,0.8,30.1,680.0,7140,0,0.0,0,0,59.0,0.653431373
63,1/5/2015,Q1,B,Monday,4,0.8,3.94,,3840,0,0.0,0,0,16.0,0.893663194
67,1/5/2015,Q1,B,Monday,2,0.8,3.94,,960,0,0.0,0,0,8.0,0.804416667
533,1/31/2015,Q5,A,Saturday,4,0.8,22.52,1432.0,6660,88,0.0,0,0,57.5,0.900537069
415,1/24/2015,Q4,B,Saturday,9,0.6,3.94,,1440,0,0.0,0,0,8.0,0.261174242
1030,3/3/2015,Q1,A,Tuesday,3,0.8,29.4,1156.0,6840,50,0.0,0,0,57.0,0.800333333
1003,3/1/2015,Q1,B,Sunday,9,0.75,2.9,,960,0,0.0,0,0,8.0,0.447083333
482,1/28/2015,Q4,A,Wednesday,10,0.8,22.52,1175.0,6720,60,0.0,0,0,56.0,0.850532143
305,1/18/2015,Q3,A,Sunday,9,0.8,26.16,1381.0,3660,50,0.0,0,0,59.0,0.800015009
293,1/17/2015,Q3,A,Saturday,10,0.65,22.52,1163.0,9720,35,0.0,0,0,54.0,0.650198653
225,1/13/2015,Q2,B,Tuesday,5,0.65,4.15,,1440,0,0.0,0,0,8.0,0.821354167
251,1/14/2015,Q2,A,Wednesday,5,0.7,20.79,965.0,7320,0,0.0,0,0,58.0,0.700095563
894,2/23/2015,Q4,A,Monday,2,0.7,30.33,577.0,2160,30,0.0,0,1,58.0,0.700623
785,2/16/2015,Q3,A,Monday,1,0.8,22.52,1422.0,6840,113,0.0,0,0,57.0,1.000230409
102,1/6/2015,Q1,A,Tuesday,5,0.65,21.98,808.0,10440,35,0.0,0,0,58.0,0.649983281
434,1/25/2015,Q4,A,Sunday,11,0.75,42.97,532.0,10260,40,0.0,0,0,57.0,0.59114168
685,2/9/2015,Q2,B,Monday,8,0.35,4.15,,1800,0,0.0,0,0,15.0,0.707111111
597,2/3/2015,Q1,B,Tuesday,6,0.7,2.9,,960,0,0.0,0,0,8.0,0.495416667
632,2/5/2015,Q1,A,Thursday,5,0.7,30.1,557.0,6960,0,0.0,0,0,58.0,0.562212644
779,2/15/2015,Q3,B,Sunday,6,0.8,2.9,,960,0,0.0,0,0,8.0,0.604166667
1140,3/9/2015,Q2,A,Monday,9,0.75,18.79,1193.0,6240,45,0.0,0,0,52.0,0.750395513
206,1/12/2015,Q2,A,Monday,12,0.8,11.61,760.0,4470,50,0.0,0,0,31.5,0.80007657
1095,3/7/2015,Q1,B,Saturday,6,0.5,2.9,,960,0,0.0,0,0,8.0,0.7975
692,2/10/2015,Q2,B,Tuesday,12,0.8,4.08,,1080,0,0.0,0,0,9.0,1.004888889
842,2/18/2015,Q3,B,Wednesday,3,0.5,5.13,,960,0,0.0,0,0,8.0,0.2565
111,1/7/2015,Q1,B,Wednesday,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.813371212
1035,3/3/2015,Q1,A,Tuesday,6,0.75,20.2,402.0,3120,45,0.0,0,0,33.0,0.750212553
643,2/7/2015,Q1,B,Saturday,6,0.75,2.9,,960,0,0.0,0,0,8.0,0.845833333
250,1/14/2015,Q2,A,Wednesday,1,0.8,26.16,1092.0,10620,63,0.0,0,0,59.0,0.800117103
923,2/25/2015,Q4,B,Wednesday,5,0.8,4.6,,1080,0,0.0,0,0,9.0,0.902962963
852,2/19/2015,Q3,B,Thursday,2,0.8,5.13,,3600,0,0.0,0,0,15.0,0.710125
381,1/22/2015,Q4,A,Thursday,11,0.7,14.89,1863.0,10260,50,0.0,0,0,57.0,0.700170388
804,2/17/2015,Q3,B,Tuesday,10,0.8,3.94,,960,0,0.0,0,0,8.0,0.927541667
480,1/28/2015,Q4,B,Wednesday,1,0.75,3.94,,1200,0,0.0,0,0,10.0,0.9456
709,2/10/2015,Q2,A,Tuesday,7,0.5,30.1,1025.0,6960,23,0.0,0,1,58.0,0.500801724
398,1/24/2015,Q4,B,Saturday,11,0.75,4.15,,1800,0,0.0,0,0,10.0,0.896022727
378,1/22/2015,Q4,A,Thursday,3,0.7,22.52,1244.0,10260,63,0.0,0,0,57.0,0.750068049
500,1/29/2015,Q5,A,Thursday,3,0.8,22.52,1287.0,6840,100,0.0,0,0,57.0,0.950185965
117,1/7/2015,Q1,A,Wednesday,3,0.8,19.87,924.0,9900,50,0.0,0,0,55.0,0.800273829
437,1/26/2015,Q4,B,Monday,3,0.75,3.94,,1800,0,0.0,0,0,10.0,1.059621212
161,1/10/2015,Q2,A,Saturday,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766
141,1/8/2015,Q2,B,Thursday,10,0.75,3.94,,1440,0,0.0,0,0,8.0,0.779791667
153,1/10/2015,Q2,A,Saturday,7,0.8,25.9,970.0,10170,60,0.0,0,0,56.5,0.850136766
592,2/3/2015,Q1,A,Tuesday,11,0.7,25.31,946.0,5760,60,0.0,0,0,54.0,0.700513566
135,1/8/2015,Q2,B,Thursday,5,0.7,4.15,,3840,0,0.0,0,0,8.0,0.821354167
866,2/22/2015,Q4,B,Sunday,2,0.8,5.13,,4800,0,0.0,0,0,20.0,0.8300625
581,2/3/2015,Q1,A,Tuesday,1,0.8,22.52,1500.0,6900,113,0.0,0,0,57.5,1.000018551
513,1/29/2015,Q5,B,Thursday,12,0.75,4.08,,1080,0,0.0,0,0,9.0,0.634666667
856,2/19/2015,Q3,B,Thursday,4,0.75,5.13,,1920,0,0.0,0,0,8.0,0.684027778
576,2/2/2015,Q1,A,Monday,5,0.5,30.1,839.0,6960,0,0.0,0,0,58.0,0.500801724
1058,3/4/2015,Q1,A,Wednesday,1,0.7,26.82,1772.0,6960,50,0.0,0,0,58.0,0.750651724
753,2/14/2015,Q2,A,Saturday,12,0.8,15.26,942.0,4080,63,0.0,0,0,34.0,0.800401961
963,2/26/2015,Q4,B,Thursday,6,0.75,2.9,,3360,0,0.0,0,0,8.0,0.271875
984,2/28/2015,Q4,B,Saturday,6,0.75,2.9,,3360,0,0.0,0,0,8.0,0.271875
589,2/3/2015,Q1,A,Tuesday,12,0.8,15.26,1029.0,2040,50,0.0,0,0,35.0,0.800259023
50,1/4/2015,Q1,A,Sunday,2,0.8,28.08,782.0,6660,50,0.0,0,0,55.5,0.800237838
0,1/1/2015,Q1,A,Thursday,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424
72,1/5/2015,Q1,A,Monday,6,0.8,11.61,712.0,7200,50,0.0,0,0,32.0,0.800246011
456,1/27/2015,Q4,A,Tuesday,2,0.75,22.52,1635.0,6840,119,0.0,0,0,57.0,1.000230409
56,1/4/2015,Q1,A,Sunday,10,0.7,28.08,1202.0,6900,40,0.0,0,0,57.5,0.699965217
344,1/20/2015,Q3,A,Tuesday,2,0.7,22.94,1363.0,10260,50,0.0,0,0,57.0,0.750031898
144,1/8/2015,Q2,B,Thursday,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.681060606
535,1/31/2015,Q5,A,Saturday,1,0.75,22.94,1502.0,6960,81,0.0,0,0,58.0,0.850362069
312,1/18/2015,Q3,A,Sunday,2,0.65,22.94,1025.0,10170,26,0.0,0,0,56.5,0.650243497
201,1/12/2015,Q2,A,Monday,8,0.8,25.9,1233.0,10170,60,0.0,0,0,56.5,0.850136766
710,2/10/2015,Q2,A,Tuesday,8,0.5,30.1,1061.0,6960,30,0.0,0,1,58.0,0.393548851
800,2/16/2015,Q3,A,Monday,10,0.6,18.22,1131.0,5280,0,0.0,0,1,44.0,0.35542803
484,1/28/2015,Q4,B,Wednesday,10,0.8,3.94,,1200,0,0.0,0,0,10.0,0.840533333
733,2/12/2015,Q2,B,Thursday,12,0.8,4.08,,1080,0,0.0,0,0,9.0,0.838666667
944,2/26/2015,Q4,B,Thursday,5,0.8,4.6,,7560,0,0.0,0,0,18.0,0.921604938
258,1/14/2015,Q2,B,Wednesday,2,0.8,3.94,,1260,0,0.0,0,0,8.0,0.247316017
357,1/21/2015,Q3,A,Wednesday,8,0.8,25.9,562.0,7470,38,0.0,0,0,56.5,0.800436542
132,1/8/2015,Q2,A,Thursday,7,0.8,25.9,1050.0,10170,60,0.0,0,0,56.5,0.850136766
291,1/17/2015,Q3,B,Saturday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.675568182
59,1/4/2015,Q1,A,Sunday,5,0.7,45.67,884.0,6960,26,0.0,0,0,58.0,0.603432184
1055,3/4/2015,Q1,A,Wednesday,3,0.8,29.4,1169.0,6840,63,0.0,0,0,57.0,0.800333333
586,2/3/2015,Q1,A,Tuesday,2,0.8,22.52,1452.0,6960,100,0.0,0,0,58.0,0.949981609
790,2/16/2015,Q3,A,Monday,5,0.8,30.1,461.0,0,0,0.0,0,0,59.0,0.800980392
12,1/1/2015,Q1,A,Thursday,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707045902
495,1/28/2015,Q4,B,Wednesday,7,0.6,3.94,,960,0,0.0,0,0,8.0,0.406354167
110,1/7/2015,Q1,B,Wednesday,4,0.8,3.94,,4440,0,0.0,0,0,18.0,0.827186544
384,1/22/2015,Q4,B,Thursday,2,0.7,3.94,,15000,0,0.0,0,0,25.0,0.649662222
1014,3/2/2015,Q1,B,Monday,8,0.75,4.6,,3360,0,0.0,0,0,8.0,0.773333333
645,2/7/2015,Q1,A,Saturday,9,0.8,29.12,829.0,6960,50,0.0,0,0,58.0,0.799963218
876,2/22/2015,Q4,A,Sunday,11,0.75,11.41,834.0,3480,0,0.0,0,2,58.0,0.672140805
460,1/27/2015,Q4,B,Tuesday,5,0.5,4.15,,1440,0,0.0,0,0,12.0,0.926388889
805,2/17/2015,Q3,B,Tuesday,7,0.7,5.13,,1200,0,0.0,0,0,10.0,0.91375
210,1/12/2015,Q2,A,Monday,5,0.65,20.79,1141.0,8460,0,0.0,0,0,59.0,0.650040783
826,2/18/2015,Q3,A,Wednesday,11,0.7,11.41,685.0,3360,30,0.0,0,2,56.0,0.8211125
1021,3/2/2015,Q1,B,Monday,10,0.7,2.9,,3360,0,0.0,0,0,8.0,0.632361111
649,2/7/2015,Q1,B,Saturday,7,0.7,3.94,,1200,0,0.0,0,0,10.0,0.715766667
764,2/14/2015,Q2,B,Saturday,6,0.8,2.9,,960,0,0.0,0,0,8.0,0.483333333
447,1/26/2015,Q4,A,Monday,1,0.7,22.94,1745.0,10440,60,0.0,0,0,58.0,0.800023511
64,1/5/2015,Q1,B,Monday,3,0.75,4.15,,1920,0,0.0,0,0,8.0,0.875390625
1034,3/3/2015,Q1,A,Tuesday,9,0.75,18.79,1096.0,6240,34,0.0,0,0,52.0,0.750395513
471,1/27/2015,Q4,A,Tuesday,12,0.7,15.26,1462.0,4080,40,0.0,0,0,34.0,0.700164706
797,2/16/2015,Q3,B,Monday,5,0.75,4.15,,1200,0,0.0,0,0,10.0,0.629416667
542,2/1/2015,Q1,B,Sunday,8,0.65,4.15,,960,0,0.0,0,0,8.0,1.0115625
241,1/14/2015,Q2,B,Wednesday,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.891723485
1079,3/5/2015,Q1,A,Thursday,9,0.75,18.79,1228.0,6240,45,0.0,0,0,52.0,0.750395513
1100,3/7/2015,Q1,B,Saturday,11,0.8,2.9,,960,0,0.0,0,0,8.0,0.657083333
255,1/14/2015,Q2,A,Wednesday,11,0.35,14.61,838.0,7200,23,0.0,0,0,55.0,0.35003125
1099,3/7/2015,Q1,B,Saturday,4,0.7,3.94,,960,0,0.0,0,0,8.0,0.664875
1047,3/4/2015,Q1,B,Wednesday,3,0.8,4.6,,1200,0,0.0,0,0,10.0,0.939166667
388,1/22/2015,Q4,A,Thursday,8,0.8,40.99,980.0,10770,30,0.0,0,0,56.5,0.555500132
200,1/12/2015,Q2,A,Monday,7,0.8,25.9,1031.0,10170,60,0.0,0,0,56.5,0.850136766
993,3/1/2015,Q1,A,Sunday,10,0.7,21.82,1393.0,5640,30,0.0,0,0,52.0,0.700236601
548,2/1/2015,Q1,B,Sunday,7,0.7,3.94,,2160,0,0.0,0,0,18.0,0.892194444
1104,3/7/2015,Q1,A,Saturday,6,0.5,23.41,1379.0,2280,0,0.0,0,1,39.0,0.500528095
539,1/31/2015,Q5,A,Saturday,6,0.6,18.79,799.0,3960,23,0.0,0,0,33.0,0.600710606
294,1/17/2015,Q3,A,Saturday,3,0.6,22.52,1140.0,10170,30,0.0,0,0,56.5,0.600291767
315,1/18/2015,Q3,B,Sunday,9,0.8,3.94,,1800,0,0.0,0,0,10.0,0.582045455
89,1/6/2015,Q1,A,Tuesday,9,0.8,26.16,1305.0,10620,75,0.0,0,0,59.0,0.850502311
347,1/20/2015,Q3,A,Tuesday,5,0.7,20.4,1352.0,10260,50,0.0,0,0,57.0,0.700063796
121,1/7/2015,Q1,A,Wednesday,5,0.7,21.98,413.0,9720,40,0.0,0,0,58.0,0.700480831
969,2/28/2015,Q4,B,Saturday,1,0.5,3.94,,3360,0,0.0,0,0,8.0,0.768847222
885,2/23/2015,Q4,B,Monday,8,0.7,5.13,,960,0,0.0,0,0,8.0,0.930416667
407,1/24/2015,Q4,A,Saturday,11,0.75,42.97,1282.0,10260,56,0.0,0,0,57.0,0.750041201
793,2/16/2015,Q3,A,Monday,6,0.75,18.79,895.0,3960,0,0.0,0,0,33.0,0.75065101
554,2/1/2015,Q1,A,Sunday,12,0.75,15.26,1276.0,1440,45,0.0,0,0,35.0,0.750450658
11,1/1/2015,Q1,A,Thursday,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247
824,2/18/2015,Q3,B,Wednesday,6,0.8,2.9,,1440,0,0.0,0,0,12.0,0.936861111
266,1/15/2015,Q3,A,Thursday,7,0.8,25.9,1281.0,10170,60,0.0,0,0,56.5,0.850136766
372,1/22/2015,Q4,B,Thursday,10,0.75,3.94,,8400,0,0.0,0,0,14.0,0.940701058
512,1/29/2015,Q5,A,Thursday,12,0.75,15.26,1436.0,4200,45,0.0,0,0,35.0,0.750646667
994,3/1/2015,Q1,A,Sunday,1,0.6,26.66,1578.0,6840,38,0.0,0,0,57.0,0.700019883
142,1/8/2015,Q2,B,Thursday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.735984848
118,1/7/2015,Q1,A,Wednesday,12,0.8,11.61,1120.0,5670,50,0.0,0,0,31.5,0.800246753
304,1/18/2015,Q3,A,Sunday,8,0.8,25.9,1288.0,10170,38,0.0,0,0,56.5,0.800128721
858,2/19/2015,Q3,A,Thursday,9,0.7,18.79,1603.0,6120,30,0.0,0,1,51.0,0.638614379
747,2/12/2015,Q2,A,Thursday,10,0.8,22.52,10.0,6000,0,0.0,0,0,50.0,0.441392
401,1/24/2015,Q4,B,Saturday,12,0.7,4.08,,1620,0,0.0,0,0,9.0,0.858585859
907,2/24/2015,Q4,A,Tuesday,4,0.8,30.1,901.0,6480,50,0.0,0,1,59.0,0.800071839
868,2/22/2015,Q4,A,Sunday,12,0.8,15.26,1103.0,4080,63,0.0,0,0,34.0,0.800401961
954,2/26/2015,Q4,A,Thursday,2,0.7,30.33,398.0,6960,0,0.0,0,1,58.0,0.66237931
231,1/13/2015,Q2,B,Tuesday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.681060606
202,1/12/2015,Q2,B,Monday,6,0.8,2.9,,1440,0,0.0,0,0,8.0,0.817424242
820,2/17/2015,Q3,B,Tuesday,2,0.8,5.13,,1800,0,0.0,0,0,15.0,0.5814
845,2/19/2015,Q3,A,Thursday,12,0.8,15.26,1126.0,1080,38,0.0,0,0,34.0,0.800711494
673,2/8/2015,Q2,A,Sunday,8,0.7,24.26,154.0,6840,0,0.0,0,0,57.0,0.353259649
172,1/11/2015,Q2,A,Sunday,9,0.8,26.16,1095.0,10620,88,0.0,0,0,59.0,0.900215716
555,2/1/2015,Q1,B,Sunday,12,0.75,4.08,,1080,0,0.0,0,0,9.0,0.702666667
587,2/3/2015,Q1,B,Tuesday,9,0.75,3.94,,1320,0,0.0,0,0,11.0,0.919954545
233,1/13/2015,Q2,B,Tuesday,11,0.8,4.15,,1440,0,0.0,0,0,8.0,0.601278409
116,1/7/2015,Q1,A,Wednesday,6,0.8,11.41,986.0,5490,50,0.0,0,0,30.5,0.800343766
1015,3/2/2015,Q1,A,Monday,6,0.75,18.79,947.0,2880,34,0.0,0,0,33.0,0.750797009
916,2/24/2015,Q4,A,Tuesday,8,0.7,29.4,1079.0,4560,40,0.0,0,2,58.0,0.700518519
5,1/1/2015,Q1,A,Thursday,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125
1186,3/11/2015,Q2,A,Wednesday,1,0.75,26.82,1322.0,7080,45,0.0,0,0,59.0,0.750050847
196,1/12/2015,Q2,B,Monday,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.880530303
814,2/17/2015,Q3,A,Tuesday,3,0.7,30.1,1422.0,6960,50,0.0,0,1,58.0,0.700603448
1046,3/3/2015,Q1,A,Tuesday,2,0.4,15.28,157.0,5400,0,6.5,30,1,45.0,0.30277037
940,2/25/2015,Q4,B,Wednesday,2,0.7,3.9,,960,0,0.0,0,0,8.0,0.440375
921,2/24/2015,Q4,A,Tuesday,1,0.6,22.53,708.0,5040,0,0.0,0,1,42.0,0.268214286
213,1/12/2015,Q2,B,Monday,11,0.8,4.15,,1440,0,0.0,0,0,8.0,0.640577652
1130,3/9/2015,Q2,B,Monday,5,0.6,3.94,,0,2880,0.0,0,0,12.0,0.864342593
94,1/6/2015,Q1,A,Tuesday,3,0.8,19.87,963.0,9900,50,0.0,0,0,55.0,0.800273829
1082,3/5/2015,Q1,A,Thursday,10,0.7,21.82,1390.0,6000,30,0.0,0,0,50.0,0.700422
749,2/14/2015,Q2,A,Saturday,1,0.8,22.52,1416.0,6840,113,0.0,0,0,57.0,1.000230409
355,1/21/2015,Q3,A,Wednesday,6,0.8,11.61,916.0,5760,75,0.0,0,0,89.0,0.850410511
862,2/19/2015,Q3,A,Thursday,2,0.65,30.33,841.0,6840,0,0.0,0,1,57.0,0.585315789
342,1/20/2015,Q3,A,Tuesday,10,0.7,22.52,1108.0,10080,63,0.0,0,0,56.0,0.750057359
843,2/18/2015,Q3,A,Wednesday,8,0.65,29.4,962.0,4560,0,4.5,30,2,57.0,0.251399254
449,1/26/2015,Q4,B,Monday,12,0.7,4.08,,1620,0,0.0,0,0,9.0,0.769292929
979,2/28/2015,Q4,A,Saturday,1,0.5,26.66,1448.0,6840,30,0.0,0,2,57.0,0.550349708
166,1/10/2015,Q2,B,Saturday,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.670075758
1109,3/8/2015,Q2,B,Sunday,1,0.75,3.94,,960,0,0.0,0,0,8.0,0.890604167
784,2/15/2015,Q3,A,Sunday,9,0.5,18.79,1688.0,5280,0,0.0,0,1,54.0,0.283054487
414,1/24/2015,Q4,A,Saturday,8,0.35,15.09,1448.0,9360,23,0.0,0,0,52.0,0.34998951
1052,3/4/2015,Q1,B,Wednesday,4,0.7,3.94,,960,0,0.0,0,0,8.0,0.806058333
652,2/7/2015,Q1,A,Saturday,5,0.7,30.1,687.0,7500,0,0.0,0,0,59.0,0.545657673
1144,3/9/2015,Q2,A,Monday,6,0.65,23.41,1262.0,4560,35,0.0,0,1,38.0,0.650962281
1183,3/11/2015,Q2,A,Wednesday,10,0.75,21.82,1674.0,6000,34,0.0,0,0,50.0,0.750608
1122,3/8/2015,Q2,A,Sunday,6,0.6,23.41,1266.0,2520,23,0.0,0,1,38.0,0.601037091
273,1/15/2015,Q3,A,Thursday,4,0.65,22.52,872.0,10080,26,0.0,0,0,56.0,0.650130952
